"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年14週"
"集計期間終了週","2025年14週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","5","1","0","1","7","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","","","","","",""
"中央区","5","1","0","0","2","15","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"みなと","6","1","0","0","10","32","0","0","2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","3","11","0","2","6","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"文京","7","6","0","0","7","18","4","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","2","","","","","",""
"台東","2","5","1","0","6","23","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","4","1","0","2","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"江東区","8","7","0","0","16","36","5","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","3","1","0","1","12","25","2","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","2","2","1","1","9","19","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","7","12","5","1","12","58","3","0","2","2","0","0","1","1","0","0","0","0","0","0","0","0","1","","","","","",""
"世田谷","17","13","2","2","25","39","4","1","4","0","0","0","1","0","0","0","0","0","0","0","0","1","4","","","","","",""
"渋谷区","0","2","0","0","3","5","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"中野区","7","15","0","0","33","18","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","10","11","2","1","11","20","1","0","0","2","0","1","0","0","0","0","0","0","0","1","1","1","1","","","","","",""
"池袋","7","9","2","1","9","17","4","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北区","15","3","0","0","13","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","16","4","2","0","1","19","3","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"板橋区","9","7","0","0","6","21","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"練馬区","14","17","5","0","32","37","3","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","9","14","6","3","15","44","4","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","3","8","0","0","9","21","4","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","","","","","",""
"江戸川","18","10","3","1","13","30","1","1","3","2","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"八王子市","11","11","5","3","11","53","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
