"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","2","0","0","0","0","1","0","0","",""
"中央区","2","2","1","1","0","0","0","0","0","",""
"みなと","8","1","8","2","0","0","1","0","0","",""
"新宿区","36","9","4","8","0","0","5","0","0","",""
"文京","3","2","3","0","0","0","0","0","0","",""
"台東","0","1","0","1","0","0","0","0","0","",""
"墨田区","1","0","5","1","0","0","2","0","0","",""
"江東区","7","3","1","3","0","0","0","0","0","",""
"品川区","41","6","7","10","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","0","0","0","3","0","0","",""
"世田谷","0","0","0","0","0","0","1","0","0","",""
"渋谷区","11","2","2","7","0","0","2","0","0","",""
"中野区","6","0","0","1","0","0","0","0","0","",""
"杉並","1","0","0","1","0","0","4","0","0","",""
"池袋","11","1","2","2","0","0","0","0","1","",""
"北区","0","0","2","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","1","0","0","0","0","0","2","1","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","0","0","",""
"江戸川","4","0","0","4","1","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","2","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","1","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","5","2","1","",""
"多摩小平","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","134","29","35","41","1","0","29","3","2","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","1","0","0","",""
"中央区","1","0","0","0","0","0","0","0","0","",""
"みなと","1","1","1","0","0","0","1","0","0","",""
"新宿区","12","6","3","2","0","0","4","0","0","",""
"文京","0","0","0","0","0","0","0","0","0","",""
"台東","15","1","3","5","0","0","0","0","0","",""
"墨田区","0","1","0","0","0","0","1","0","0","",""
"江東区","1","0","1","0","0","0","0","0","0","",""
"品川区","25","5","1","4","2","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","2","0","0","",""
"渋谷区","10","7","5","0","2","0","0","0","0","",""
"中野区","0","1","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","2","0","0","",""
"池袋","2","1","1","1","2","0","1","0","0","",""
"北区","0","0","1","0","0","0","0","0","0","",""
"荒川区","2","0","0","0","0","0","0","0","0","",""
"板橋区","4","0","0","1","0","0","1","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","5","0","0","1","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","0","0","",""
"江戸川","5","1","0","1","1","0","0","0","0","",""
"八王子市","6","0","1","0","0","0","0","0","0","",""
"町田市","2","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","1","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","7","0","0","1","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","5","0","0","",""
"多摩小平","1","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","99","24","17","16","7","0","18","0","1","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","2","0","0","0","0","2","0","0","2","2"
"中央区","3","2","1","1","0","0","0","0","0","3","0"
"みなと","9","2","9","2","0","0","2","0","0","2","1"
"新宿区","48","15","7","10","0","0","9","0","0","7","2"
"文京","3","2","3","0","0","0","0","0","0","1","1"
"台東","15","2","3","6","0","0","0","0","0","2","0"
"墨田区","1","1","5","1","0","0","3","0","0","2","1"
"江東区","8","3","2","3","0","0","0","0","0","2","0"
"品川区","66","11","8","14","2","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","1","0","0","0","0","0","3","0","0","2","1"
"世田谷","0","0","0","0","0","0","3","0","0","0","2"
"渋谷区","21","9","7","7","2","0","2","0","0","5","1"
"中野区","6","1","0","1","0","0","0","0","0","2","0"
"杉並","1","0","0","1","0","0","6","0","0","2","2"
"池袋","13","2","3","3","2","0","1","0","1","3","1"
"北区","0","0","3","0","0","0","0","0","0","1","0"
"荒川区","2","0","0","0","0","0","0","0","0","1","0"
"板橋区","5","0","0","1","0","0","3","1","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","5","0","0","1","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","0","0","0","0","1"
"江戸川","9","1","0","5","2","0","0","0","0","2","0"
"八王子市","6","0","1","0","0","0","2","0","0","4","1"
"町田市","2","0","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","1","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","8","0","0","1","0","0","0","0","0","2","1"
"多摩府中","0","0","0","0","0","0","10","2","1","3","3"
"多摩小平","1","0","0","0","0","0","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","233","53","52","57","8","0","47","3","3","55","25"


