"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年5月"
"集計期間終了月","2025年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","3","0","0","1","0","0","0","1","0"
"20～24歳","23","2","2","8","0","0","0","0","0"
"25～29歳","29","2","6","10","1","0","0","0","0"
"30～34歳","20","2","7","9","0","0","1","0","0"
"35～39歳","16","4","2","8","0","0","1","0","0"
"40～44歳","15","4","3","6","0","0","0","0","0"
"45～49歳","12","3","6","3","0","0","0","0","0"
"50～54歳","7","3","8","4","1","0","2","2","0"
"55～59歳","6","1","5","2","0","0","3","0","0"
"60～64歳","2","0","2","0","0","0","8","0","0"
"65～69歳","0","0","0","0","0","0","2","2","0"
"70歳以上","1","1","1","0","0","0","13","4","1"
"合計","134","22","42","51","2","0","33","9","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年5月"
"集計期間終了月","2025年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","3","0","2","4","0","0","0","0","0"
"20～24歳","33","4","6","9","5","0","0","0","0"
"25～29歳","36","2","7","4","4","0","1","0","0"
"30～34歳","13","1","2","1","2","0","2","0","0"
"35～39歳","7","2","2","0","1","0","0","0","0"
"40～44歳","6","3","2","2","0","0","1","0","0"
"45～49歳","5","2","0","1","0","0","0","0","0"
"50～54歳","3","1","2","2","0","0","0","0","0"
"55～59歳","0","0","1","1","1","0","2","0","0"
"60～64歳","0","0","0","1","0","0","0","0","0"
"65～69歳","0","1","0","0","0","0","3","0","0"
"70歳以上","0","1","0","0","0","0","22","0","0"
"合計","106","17","24","25","13","0","36","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年5月"
"集計期間終了月","2025年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","3","0","0"
"15～19歳","6","0","2","5","0","0","0","1","0"
"20～24歳","56","6","8","17","5","0","0","0","0"
"25～29歳","65","4","13","14","5","0","1","0","0"
"30～34歳","33","3","9","10","2","0","3","0","0"
"35～39歳","23","6","4","8","1","0","1","0","0"
"40～44歳","21","7","5","8","0","0","1","0","0"
"45～49歳","17","5","6","4","0","0","0","0","0"
"50～54歳","10","4","10","6","1","0","2","2","0"
"55～59歳","6","1","6","3","1","0","5","0","0"
"60～64歳","2","0","2","1","0","0","8","0","0"
"65～69歳","0","1","0","0","0","0","5","2","0"
"70歳以上","1","2","1","0","0","0","35","4","1"
"合計","240","39","66","76","15","0","69","9","1"
"定点数","55","55","55","55","55","55","25","25","25"


