"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年5月"
"集計期間終了月","2025年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","20","5","11","6","0","0","3","0","1","",""
"区南部","48","6","8","18","0","0","2","0","0","",""
"区西南部","8","1","4","4","0","0","4","0","0","",""
"区西部","40","3","13","19","2","0","7","0","0","",""
"区西北部","7","0","1","1","0","0","2","0","0","",""
"区東北部","0","0","0","0","0","0","2","5","0","",""
"区東部","10","7","5","3","0","0","5","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","1","0","0","0","0","0","1","1","0","",""
"北多摩南部","0","0","0","0","0","0","7","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","3","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","134","22","42","51","2","0","33","9","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年5月"
"集計期間終了月","2025年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","10","5","6","6","3","0","0","0","0","",""
"区南部","33","0","4","5","0","0","2","0","0","",""
"区西南部","7","6","2","4","2","0","4","0","0","",""
"区西部","20","2","8","7","7","0","10","0","0","",""
"区西北部","5","1","1","0","0","0","6","0","0","",""
"区東北部","3","0","0","0","0","0","1","0","0","",""
"区東部","9","1","1","2","0","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","12","1","2","0","1","0","3","0","0","",""
"北多摩西部","5","0","0","1","0","0","0","0","0","",""
"北多摩南部","2","1","0","0","0","0","6","0","0","",""
"北多摩北部","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","106","17","24","25","13","0","36","0","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年5月"
"集計期間終了月","2025年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","30","10","17","12","3","0","3","0","1","10","4"
"区南部","81","6","12","23","0","0","4","0","0","3","1"
"区西南部","15","7","6","8","2","0","8","0","0","5","3"
"区西部","60","5","21","26","9","0","17","0","0","11","4"
"区西北部","12","1","2","1","0","0","8","0","0","6","2"
"区東北部","3","0","0","0","0","0","3","5","0","3","1"
"区東部","19","8","6","5","0","0","7","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","12","1","2","0","1","0","3","0","0","5","1"
"北多摩西部","6","0","0","1","0","0","1","1","0","2","1"
"北多摩南部","2","1","0","0","0","0","13","0","0","3","3"
"北多摩北部","0","0","0","0","0","0","2","3","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","240","39","66","76","15","0","69","9","1","55","25"


