"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年22週"
"集計期間終了週","2025年22週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","8","12","850","2","4","36","78","13","4","3","4","1","3","1","0","0","0","0","0","0","1","0","0","4","","","","","","",""
"区南部","6","14","588","2","12","39","69","12","2","10","7","0","2","1","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"区西南部","10","9","867","0","1","52","51","12","3","4","1","1","1","0","0","0","1","0","0","0","0","0","0","2","","","","","","",""
"区西部","2","20","940","2","7","58","72","9","1","1","4","2","0","0","0","0","0","0","0","1","0","1","0","1","","","","","","",""
"区西北部","10","12","1366","2","5","72","104","24","2","9","7","0","2","1","1","0","1","0","0","1","0","0","0","0","","","","","","",""
"区東北部","4","21","1154","3","15","48","88","7","2","19","6","0","1","0","3","0","1","0","0","0","0","0","0","0","","","","","","",""
"区東部","4","16","1072","5","4","42","107","6","0","4","6","2","0","1","0","0","3","0","0","0","0","1","0","0","","","","","","",""
"西多摩","0","7","148","0","0","9","11","6","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","",""
"南多摩","4","17","2326","3","8","101","167","15","2","17","9","0","1","3","0","0","1","0","0","0","0","0","2","0","","","","","","",""
"北多摩西部","1","8","481","1","1","40","26","7","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北多摩南部","3","9","1028","1","3","59","64","16","1","4","3","0","1","2","0","0","1","0","0","1","0","0","0","2","","","","","","",""
"北多摩北部","3","9","805","3","11","51","85","13","1","13","12","1","2","1","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"島しょ","0","0","11","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"合計","55","154","11636","24","71","607","924","140","18","94","60","7","14","10","5","0","9","0","0","4","1","2","2","14","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年22週"
"集計期間終了週","2025年22週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","6","16","882","2","3","37","81","13","4","4","6","1","3","4","0","0","1","0","0","0","1","0","0","1","","","","","","",""
"区南部","5","10","606","1","5","39","58","17","7","9","6","2","1","1","1","0","1","0","0","0","0","0","0","0","","","","","","",""
"区西南部","3","13","925","1","1","33","53","8","3","5","1","1","2","1","0","0","1","2","0","0","0","0","0","2","","","","","","",""
"区西部","2","24","909","1","9","43","54","14","1","7","2","2","0","0","0","0","0","0","0","1","0","1","0","1","","","","","","",""
"区西北部","8","28","1476","1","7","64","109","30","2","10","3","0","2","1","1","0","1","0","0","1","0","0","0","1","","","","","","",""
"区東北部","3","23","1210","1","10","33","71","5","1","27","2","1","1","0","1","0","3","0","0","0","0","0","0","0","","","","","","",""
"区東部","4","21","1082","5","10","33","86","8","3","3","3","3","0","1","0","0","3","0","0","0","0","1","0","0","","","","","","",""
"西多摩","0","2","162","1","0","3","11","2","0","7","1","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","",""
"南多摩","3","23","2264","2","14","71","160","13","2","19","8","2","2","5","0","0","1","0","0","0","0","0","2","2","","","","","","",""
"北多摩西部","4","10","409","1","1","31","10","5","1","2","2","0","1","0","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"北多摩南部","2","15","1052","1","4","37","51","14","1","2","1","0","1","2","0","0","1","0","0","1","0","0","0","4","","","","","","",""
"北多摩北部","7","10","835","1","7","50","59","12","1","8","3","1","2","1","0","0","1","0","0","0","0","0","2","3","","","","","","",""
"島しょ","0","2","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"合計","47","197","11821","18","71","474","805","141","26","103","38","13","15","16","3","0","14","2","0","4","1","2","5","19","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年22週"
"集計期間終了週","2025年22週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","14","28","1732","4","7","73","159","26","4","7","10","1","3","5","0","0","1","0","0","0","1","0","0","5","32","32","20","2","4","4","4"
"区南部","11","24","1194","3","17","78","127","29","9","19","13","2","3","1","1","0","1","0","0","0","0","0","0","0","33","33","21","3","1","1","1"
"区西南部","13","22","1792","1","2","85","104","20","3","9","2","2","3","1","0","0","1","2","0","0","0","0","0","2","40","40","25","4","3","3","3"
"区西部","4","44","1849","3","16","101","126","23","1","8","6","4","0","0","0","0","0","0","0","2","0","1","0","2","39","39","25","4","4","4","4"
"区西北部","18","40","2842","3","12","136","213","54","2","19","10","0","4","1","1","0","2","0","0","1","0","0","0","1","56","56","35","6","2","2","2"
"区東北部","7","44","2364","4","25","81","159","12","3","46","8","1","2","0","4","0","4","0","0","0","0","0","0","0","40","40","25","4","1","1","1"
"区東部","8","37","2154","10","14","75","193","14","3","7","9","5","0","1","0","0","6","0","0","0","0","1","0","0","41","41","26","4","1","1","1"
"西多摩","0","9","310","1","0","12","22","8","0","15","2","0","0","0","0","0","0","0","0","0","0","0","1","4","14","14","8","1","1","1","1"
"南多摩","7","40","4590","5","22","172","327","28","2","36","17","2","3","8","0","0","1","0","0","0","0","0","2","2","45","45","28","4","1","1","1"
"北多摩西部","5","18","890","2","2","71","36","12","1","4","2","0","2","0","0","0","1","0","0","0","0","0","0","1","21","21","14","2","1","1","1"
"北多摩南部","5","24","2080","2","7","96","115","30","1","6","4","0","2","2","0","0","1","0","0","2","0","0","0","6","33","33","21","3","3","3","3"
"北多摩北部","10","19","1640","4","18","101","144","25","2","21","15","2","4","1","0","0","1","0","0","0","0","0","2","4","23","23","15","2","2","2","2"
"島しょ","0","2","20","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","2","1","0","1","1","1"
"合計","102","351","23457","42","142","1081","1729","281","31","197","98","19","26","20","6","0","19","2","0","7","1","2","5","27","419","419","264","39","25","25","25"


