"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年26週"
"集計期間終了週","2025年26週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"～5ヶ月","0","4","841","2","0","0","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","4","*","2","9","2","81","1","9","1","14","10","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"1歳","1","8","4076","8","27","18","127","4","21","5","30","24","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","1","2","*","3","17","25","96","3","5","6","3","10","0","4","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"3歳","1","2","*","0","5","41","82","1","6","9","1","6","3","2","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"4歳","0","3","*","0","2","43","63","7","5","14","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","4","0","2220","0","1","66","57","9","4","12","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","2","*","0","4","55","53","19","1","8","0","2","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","2","1","*","0","5","54","50","21","1","3","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","1","1","*","0","0","42","42","14","1","5","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","2","0","*","0","0","40","47","22","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","9","16","1261","0","3","69","96","27","0","3","0","1","5","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","8","15","541","0","0","9","19","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","3","32","377","0","0","12","53","4","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"30～39歳","1","37","358","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","4","30","357","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"50～59歳","0","40","362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"60～69歳","4","30","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"70～79歳","0","14","172","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","1","6","0","0","0","0","0","1","0","0","0","6"
"80歳以上","0","10","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","6"
"合計","42","251","10911","15","73","476","876","134","55","72","48","60","15","19","2","0","11","0","2","6","1","1","2","20","0","0","0","0","0","2","0","1","0","19"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年26週"
"集計期間終了週","2025年26週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

