"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年43週
"集計期間終了週",2025年43週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2268","2065","4333","418"
"新型コロナウイルス感染症（COVID-19）","248","325","573","418"
"急性呼吸器感染症（ARI）","14113","13644","27757","418"
"RSウイルス感染症","97","77","174","263"
"咽頭結膜熱","37","26","63","263"
"Ａ群溶血性レンサ球菌咽頭炎","308","220","528","263"
"感染性胃腸炎","618","528","1146","263"
"水痘","27","24","51","263"
"手足口病","47","36","83","263"
"伝染性紅斑","27","17","44","263"
"突発性発しん","38","25","63","263"
"ヘルパンギーナ","54","50","104","263"
"流行性耳下腺炎","6","2","8","263"
"不明発しん症","5","9","14","263"
"川崎病","3","4","7","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","12","13","25","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","10","11","21","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","19","19","38","25"
"COVID-19入院","21","23","44","25"
