"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年9月"
"集計期間終了月","2013年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","10","3","0","0"
"1～4歳","0","0","0","0","0","0","13","6","0","0"
"5～9歳","0","0","0","0","0","0","2","1","0","0"
"10～14歳","0","0","0","0","0","0","1","1","0","0"
"15～19歳","5","0","1","4","0","0","3","0","0","0"
"20～24歳","16","3","3","10","0","1","0","1","0","0"
"25～29歳","18","8","5","17","0","2","2","0","0","0"
"30～34歳","27","13","9","14","0","3","0","0","0","0"
"35～39歳","20","13","14","17","0","2","1","1","0","0"
"40～44歳","11","12","8","7","0","0","0","0","0","0"
"45～49歳","9","9","5","8","0","1","1","2","0","0"
"50～54歳","2","6","3","4","0","1","1","0","0","0"
"55～59歳","3","3","1","2","0","0","2","0","0","0"
"60～64歳","2","4","1","1","0","0","4","0","0","0"
"65～69歳","0","1","0","3","0","0","7","1","0","0"
"70歳以上","1","2","0","2","0","0","24","5","2","0"
"合計","114","74","50","89","0","10","71","21","2","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年9月"
"集計期間終了月","2013年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","13","2","0","0"
"1～4歳","0","0","0","0","0","0","4","3","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","9","1","2","0","0","0","0","0","0","0"
"20～24歳","29","6","7","1","2","0","0","0","0","0"
"25～29歳","18","7","6","3","1","0","0","0","0","0"
"30～34歳","12","3","3","1","0","0","1","0","0","0"
"35～39歳","7","4","2","0","1","1","1","1","0","0"
"40～44歳","1","3","0","0","1","0","2","1","0","0"
"45～49歳","0","4","0","0","1","0","0","0","0","0"
"50～54歳","0","3","1","0","0","0","1","0","0","0"
"55～59歳","0","1","0","0","0","0","1","0","0","0"
"60～64歳","0","1","0","0","0","0","2","0","0","0"
"65～69歳","0","1","0","0","0","0","0","0","0","0"
"70歳以上","0","1","0","0","0","0","13","6","1","0"
"合計","76","35","21","5","6","1","40","14","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年9月"
"集計期間終了月","2013年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","23","5","0","0"
"1～4歳","0","0","0","0","0","0","17","9","0","0"
"5～9歳","0","0","0","0","0","0","3","2","0","0"
"10～14歳","0","0","0","0","0","0","2","1","0","0"
"15～19歳","14","1","3","4","0","0","3","0","0","0"
"20～24歳","45","9","10","11","2","1","0","1","0","0"
"25～29歳","36","15","11","20","1","2","2","0","0","0"
"30～34歳","39","16","12","15","0","3","1","0","0","0"
"35～39歳","27","17","16","17","1","3","2","2","0","0"
"40～44歳","12","15","8","7","1","0","2","1","0","0"
"45～49歳","9","13","5","8","1","1","1","2","0","0"
"50～54歳","2","9","4","4","0","1","2","0","0","0"
"55～59歳","3","4","1","2","0","0","3","0","0","0"
"60～64歳","2","5","1","1","0","0","6","0","0","0"
"65～69歳","0","2","0","3","0","0","7","1","0","0"
"70歳以上","1","3","0","2","0","0","37","11","3","0"
"合計","190","109","71","94","6","11","111","35","3","0"
"定点数","54","54","54","54","54","54","25","25","25","25"


