"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2020年6月"
"集計期間終了月","2020年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","0","0"
"1～4歳","0","0","0","0","0","0","8","0","0"
"5～9歳","0","0","0","0","0","0","2","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","1","0","0","2","0","0","0","0","0"
"20～24歳","22","2","7","11","0","0","1","0","0"
"25～29歳","22","2","15","7","0","0","0","0","0"
"30～34歳","9","3","9","6","0","0","1","0","0"
"35～39歳","18","2","14","5","0","0","2","0","0"
"40～44歳","12","2","13","5","0","0","0","0","0"
"45～49歳","2","1","6","1","0","0","1","0","0"
"50～54歳","4","3","3","2","0","0","3","0","0"
"55～59歳","3","4","2","1","0","0","4","0","0"
"60～64歳","0","1","1","0","0","0","2","0","0"
"65～69歳","0","0","0","0","0","0","4","0","0"
"70歳以上","0","2","2","0","0","0","14","0","0"
"合計","93","22","72","40","0","0","51","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2020年6月"
"集計期間終了月","2020年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","7","1","1","1","0","0","0","0","0"
"20～24歳","26","8","8","4","2","0","0","0","0"
"25～29歳","22","4","8","6","2","0","0","0","0"
"30～34歳","9","3","4","0","3","0","0","0","0"
"35～39歳","4","6","4","2","1","0","2","0","0"
"40～44歳","5","4","3","0","3","0","0","0","0"
"45～49歳","7","3","2","2","1","0","3","0","0"
"50～54歳","0","2","0","0","2","0","1","0","0"
"55～59歳","1","1","0","0","0","0","0","0","0"
"60～64歳","0","1","0","0","0","0","1","0","0"
"65～69歳","0","1","1","0","0","0","1","0","0"
"70歳以上","0","0","0","0","0","0","13","0","0"
"合計","81","34","31","15","14","0","28","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2020年6月"
"集計期間終了月","2020年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","12","0","0"
"1～4歳","0","0","0","0","0","0","9","0","0"
"5～9歳","0","0","0","0","0","0","3","0","0"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","8","1","1","3","0","0","0","0","0"
"20～24歳","48","10","15","15","2","0","1","0","0"
"25～29歳","44","6","23","13","2","0","0","0","0"
"30～34歳","18","6","13","6","3","0","1","0","0"
"35～39歳","22","8","18","7","1","0","4","0","0"
"40～44歳","17","6","16","5","3","0","0","0","0"
"45～49歳","9","4","8","3","1","0","4","0","0"
"50～54歳","4","5","3","2","2","0","4","0","0"
"55～59歳","4","5","2","1","0","0","4","0","0"
"60～64歳","0","2","1","0","0","0","3","0","0"
"65～69歳","0","1","1","0","0","0","5","0","0"
"70歳以上","0","2","2","0","0","0","27","0","0"
"合計","174","56","103","55","14","0","79","0","0"
"定点数","53","53","53","53","53","53","25","25","25"


