"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年2月"
"集計期間終了月","2026年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","3","0","0"
"5～9歳","0","0","0","0","0","0","0","1","0"
"10～14歳","0","0","0","0","0","0","2","1","0"
"15～19歳","0","1","0","1","0","0","0","0","0"
"20～24歳","12","2","1","6","0","0","0","0","0"
"25～29歳","20","4","8","8","0","0","0","0","0"
"30～34歳","11","3","7","5","0","0","0","0","0"
"35～39歳","17","3","7","6","0","0","3","1","0"
"40～44歳","7","6","2","4","0","0","1","0","0"
"45～49歳","8","2","3","2","0","0","1","0","0"
"50～54歳","1","1","4","2","0","0","0","0","0"
"55～59歳","3","2","3","2","0","0","0","0","1"
"60～64歳","4","1","1","2","0","0","5","0","0"
"65～69歳","1","0","0","0","0","0","2","0","0"
"70歳以上","1","2","2","0","0","0","16","0","1"
"合計","85","27","38","38","0","0","35","3","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年2月"
"集計期間終了月","2026年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","5","1","0","0","0","0","0","0","0"
"20～24歳","26","4","3","8","3","0","1","0","0"
"25～29歳","23","4","2","4","1","0","0","0","0"
"30～34歳","11","3","2","5","3","0","0","0","0"
"35～39歳","6","2","2","0","1","0","0","0","0"
"40～44歳","2","1","1","3","0","0","0","0","0"
"45～49歳","0","2","1","1","1","0","0","0","0"
"50～54歳","1","3","1","0","0","0","1","0","0"
"55～59歳","1","0","0","0","0","0","0","0","0"
"60～64歳","0","0","0","0","0","0","2","0","0"
"65～69歳","0","2","0","1","0","0","2","0","0"
"70歳以上","0","1","0","0","1","0","8","1","1"
"合計","75","23","12","22","10","0","15","1","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年2月"
"集計期間終了月","2026年2月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","3","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","2","1","0"
"15～19歳","5","2","0","1","0","0","0","0","0"
"20～24歳","38","6","4","14","3","0","1","0","0"
"25～29歳","43","8","10","12","1","0","0","0","0"
"30～34歳","22","6","9","10","3","0","0","0","0"
"35～39歳","23","5","9","6","1","0","3","1","0"
"40～44歳","9","7","3","7","0","0","1","0","0"
"45～49歳","8","4","4","3","1","0","1","0","0"
"50～54歳","2","4","5","2","0","0","1","0","0"
"55～59歳","4","2","3","2","0","0","0","0","1"
"60～64歳","4","1","1","2","0","0","7","0","0"
"65～69歳","1","2","0","1","0","0","4","0","0"
"70歳以上","1","3","2","0","1","0","24","1","2"
"合計","160","50","50","60","10","0","50","4","3"
"定点数","55","55","55","55","55","55","25","25","25"


