"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年4月"
"集計期間終了月","2026年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0"
"15～19歳","2","0","0","0","0","1","0","0"
"20～24歳","15","3","5","9","0","0","0","0"
"25～29歳","24","5","3","8","0","0","0","0"
"30～34歳","15","3","4","7","0","0","0","0"
"35～39歳","13","5","6","6","0","0","0","0"
"40～44歳","6","2","6","4","0","0","0","0"
"45～49歳","2","2","2","4","0","2","0","0"
"50～54歳","6","5","3","6","0","0","0","0"
"55～59歳","1","1","1","1","0","0","0","0"
"60～64歳","2","7","4","1","0","0","0","0"
"65～69歳","1","0","0","0","0","2","0","0"
"70歳以上","0","0","2","0","0","20","0","0"
"合計","87","33","36","46","0","25","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年4月"
"集計期間終了月","2026年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0","0"
"10～14歳","2","0","0","1","0","0","0","0"
"15～19歳","6","1","1","4","0","0","0","0"
"20～24歳","20","2","3","2","3","0","0","0"
"25～29歳","17","3","4","7","0","0","0","0"
"30～34歳","13","3","4","2","0","0","0","0"
"35～39歳","6","2","0","0","0","1","0","0"
"40～44歳","1","1","1","1","0","1","0","0"
"45～49歳","3","1","1","2","1","0","0","0"
"50～54歳","1","3","1","2","0","0","0","0"
"55～59歳","1","3","0","4","1","2","0","0"
"60～64歳","0","2","1","0","0","1","0","0"
"65～69歳","0","1","0","0","0","1","0","0"
"70歳以上","0","1","0","0","0","13","0","0"
"合計","70","23","16","25","5","19","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年4月"
"集計期間終了月","2026年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0","0"
"10～14歳","2","0","0","1","0","0","0","0"
"15～19歳","8","1","1","4","0","1","0","0"
"20～24歳","35","5","8","11","3","0","0","0"
"25～29歳","41","8","7","15","0","0","0","0"
"30～34歳","28","6","8","9","0","0","0","0"
"35～39歳","19","7","6","6","0","1","0","0"
"40～44歳","7","3","7","5","0","1","0","0"
"45～49歳","5","3","3","6","1","2","0","0"
"50～54歳","7","8","4","8","0","0","0","0"
"55～59歳","2","4","1","5","1","2","0","0"
"60～64歳","2","9","5","1","0","1","0","0"
"65～69歳","1","1","0","0","0","3","0","0"
"70歳以上","0","1","2","0","0","33","0","0"
"合計","157","56","52","71","5","44","1","0"
"定点数","55","55","55","55","55","25","25","25"


