"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年5月"
"集計期間終了月","2026年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","1","0"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","1","0","0","2","0","0","0"
"20～24歳","17","0","1","3","0","0","0"
"25～29歳","19","2","7","9","0","0","0"
"30～34歳","27","4","7","9","0","1","0"
"35～39歳","16","4","3","10","0","3","0"
"40～44歳","6","3","1","3","0","0","0"
"45～49歳","10","2","5","2","0","2","0"
"50～54歳","5","7","2","3","0","1","0"
"55～59歳","1","3","2","1","0","1","0"
"60～64歳","0","2","1","1","0","2","0"
"65～69歳","0","1","0","0","0","4","0"
"70歳以上","0","0","0","0","0","13","0"
"合計","102","28","29","43","0","29","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年5月"
"集計期間終了月","2026年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","1","1"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","9","0","1","1","1","1","1"
"20～24歳","19","6","4","2","2","0","0"
"25～29歳","19","5","4","3","0","0","0"
"30～34歳","13","3","1","0","0","0","0"
"35～39歳","5","3","1","0","0","1","0"
"40～44歳","2","1","1","1","0","1","0"
"45～49歳","0","1","0","0","0","0","0"
"50～54歳","0","1","1","1","0","1","0"
"55～59歳","0","1","1","0","0","1","0"
"60～64歳","0","0","0","0","0","1","0"
"65～69歳","0","0","0","0","0","0","0"
"70歳以上","0","0","0","0","0","9","0"
"合計","67","21","14","8","3","16","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年5月"
"集計期間終了月","2026年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","2","1"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","10","0","1","3","1","1","1"
"20～24歳","36","6","5","5","2","0","0"
"25～29歳","38","7","11","12","0","0","0"
"30～34歳","40","7","8","9","0","1","0"
"35～39歳","21","7","4","10","0","4","0"
"40～44歳","8","4","2","4","0","1","0"
"45～49歳","10","3","5","2","0","2","0"
"50～54歳","5","8","3","4","0","2","0"
"55～59歳","1","4","3","1","0","2","0"
"60～64歳","0","2","1","1","0","3","0"
"65～69歳","0","1","0","0","0","4","0"
"70歳以上","0","0","0","0","0","22","0"
"合計","169","49","43","51","3","45","2"
"定点数","55","55","55","55","55","25","25"


