"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年6月"
"集計期間終了月","2025年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","1","0"
"15～19歳","1","0","1","1","0","0","0","0","0"
"20～24歳","15","5","3","5","0","0","0","0","0"
"25～29歳","33","3","9","9","0","0","3","0","0"
"30～34歳","35","7","12","7","1","0","0","0","0"
"35～39歳","16","1","7","9","0","0","2","0","0"
"40～44歳","11","1","5","4","0","0","2","0","0"
"45～49歳","10","2","7","4","0","0","1","0","1"
"50～54歳","8","3","7","4","0","0","2","0","0"
"55～59歳","4","1","3","3","0","0","1","0","0"
"60～64歳","1","2","1","1","0","0","1","0","0"
"65～69歳","0","1","3","1","0","0","2","0","0"
"70歳以上","1","0","3","0","0","0","16","2","0"
"合計","135","26","61","48","1","0","34","3","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年6月"
"集計期間終了月","2025年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","1","2","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","7","0","1","2","0","0","0","0","0"
"20～24歳","36","5","7","2","1","0","0","0","0"
"25～29歳","29","5","2","6","3","0","0","0","0"
"30～34歳","14","1","2","1","1","0","0","0","0"
"35～39歳","5","4","0","1","2","0","0","0","0"
"40～44歳","5","3","0","0","2","0","0","0","0"
"45～49歳","5","1","0","2","0","0","0","0","0"
"50～54歳","2","4","0","2","1","0","2","0","0"
"55～59歳","1","1","0","0","1","0","1","0","0"
"60～64歳","0","2","0","2","0","0","2","0","0"
"65～69歳","0","0","0","0","0","0","4","0","0"
"70歳以上","0","0","0","0","0","0","14","0","0"
"合計","104","26","12","18","11","0","25","2","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年6月"
"集計期間終了月","2025年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","3","2","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","1","0"
"15～19歳","8","0","2","3","0","0","0","0","0"
"20～24歳","51","10","10","7","1","0","0","0","0"
"25～29歳","62","8","11","15","3","0","3","0","0"
"30～34歳","49","8","14","8","2","0","0","0","0"
"35～39歳","21","5","7","10","2","0","2","0","0"
"40～44歳","16","4","5","4","2","0","2","0","0"
"45～49歳","15","3","7","6","0","0","1","0","1"
"50～54歳","10","7","7","6","1","0","4","0","0"
"55～59歳","5","2","3","3","1","0","2","0","0"
"60～64歳","1","4","1","3","0","0","3","0","0"
"65～69歳","0","1","3","1","0","0","6","0","0"
"70歳以上","1","0","3","0","0","0","30","2","0"
"合計","239","52","73","66","12","0","59","5","1"
"定点数","55","55","55","55","55","55","25","25","25"


