"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2012年11月"
"集計期間終了月","2012年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","11","1","8","15","0","0","2","2","0","0","",""
"中央区","12","4","1","7","0","0","0","0","0","0","",""
"みなと","8","28","11","4","0","0","7","0","0","0","",""
"新宿区","24","13","22","26","0","0","9","0","0","0","",""
"文京","5","1","1","2","0","0","1","1","1","0","",""
"台東","0","0","0","0","0","0","0","0","0","0","",""
"墨田区","3","1","0","1","0","0","4","1","0","0","",""
"江東区","7","7","1","10","0","0","0","0","0","0","",""
"品川区","6","2","0","1","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","4","0","0","2","0","0","1","1","0","0","",""
"世田谷","0","0","0","0","0","0","4","1","0","0","",""
"渋谷区","2","4","1","1","2","0","0","0","0","0","",""
"中野区","2","0","1","0","0","0","0","0","0","0","",""
"杉並","4","0","1","2","0","0","2","0","0","0","",""
"池袋","11","5","5","4","0","0","0","1","0","0","",""
"北区","0","0","3","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","5","0","1","0","0","7","0","1","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","3","1","0","1","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","4","0","0","",""
"江戸川","1","2","0","2","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","1","0","0","0","14","5","0","0","",""
"多摩小平","0","0","0","0","0","0","2","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","103","74","56","79","2","0","55","18","2","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2012年11月"
"集計期間終了月","2012年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","2","0","0","0","",""
"中央区","0","1","0","0","1","0","0","0","0","0","",""
"みなと","6","7","7","0","2","0","1","0","0","0","",""
"新宿区","7","15","13","8","1","2","7","0","0","0","",""
"文京","0","0","0","0","0","0","0","0","1","0","",""
"台東","1","1","0","0","1","0","0","0","0","0","",""
"墨田区","1","2","2","1","1","1","2","1","0","0","",""
"江東区","3","0","0","1","0","0","0","0","0","0","",""
"品川区","1","0","0","1","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","4","0","0","0","1","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","2","1","0","0","",""
"渋谷区","5","7","4","0","0","0","0","0","0","0","",""
"中野区","0","0","1","0","1","0","0","0","0","0","",""
