"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2017年5月"
"集計期間終了月","2017年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","16","1","9","7","0","0","0","0","0","",""
"中央区","9","4","0","4","0","0","0","0","0","",""
"みなと","11","45","6","3","0","0","5","0","0","",""
"新宿区","16","12","43","11","0","0","14","0","0","",""
"文京","4","3","0","0","0","0","2","0","0","",""
"台東","0","0","1","1","0","0","0","0","0","",""
"墨田区","4","1","0","1","0","0","6","1","0","",""
"江東区","9","7","2","8","0","0","0","0","0","",""
"品川区","3","3","1","1","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","1","0","0","2","0","0","",""
"世田谷","0","0","0","0","0","0","0","1","0","",""
"渋谷区","7","10","2","3","0","0","1","0","0","",""
"中野区","0","0","0","1","0","0","0","0","0","",""
"杉並","3","3","0","1","0","0","1","0","0","",""
"池袋","15","4","2","7","0","0","0","1","0","",""
"北区","1","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","3","0","0","3","0","0","0","1","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","0","0","",""
"江戸川","3","1","3","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","1","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","1","0","0","0","0","0","1","0","0","",""
"多摩府中","2","0","0","1","0","0","15","0","0","",""
"多摩小平","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","107","94","69","53","0","0","50","5","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2017年5月"
"集計期間終了月","2017年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","2","0","2","0","0","0","0","0","0","",""
"中央区","0","1","1","0","0","0","0","0","0","",""
"みなと","1","8","1","0","0","0","1","0","0","",""
"新宿区","5","7","19","7","1","0","8","0","0","",""
"文京","0","0","0","0","0","0","3","0","0","",""
"台東","11","2","0","20","0","0","0","0","0","",""
"墨田区","2","0","1","1","0","0","0","1","0","",""
"江東区","2","0","0","0","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","11","0","0","0","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","2","0","0","",""
"渋谷区","9","8","2","0","0","0","0","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","2","2","0","0","0","0","1","0","0","",""
"池袋","8","9","3","2","0","0","1","1","0","",""
"北区","1","0","0","0","0","0","0","0","0","",""
"荒川区","3","0","0","0","0","0","0","0","0","",""
"板橋区","2","0","1","0","0","0","0","1","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","3","0","3","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","1","0","",""
"江戸川","6","0","0","1","0","0","0","0","0","",""
"八王子市","5","1","0","0","1","0","0","0","0","",""
"町田市","2","3","1","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","13","1","0","0","2","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","6","0","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","88","42","34","31","4","0","24","4","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2017年5月"
"集計期間終了月","2017年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","18","1","11","7","0","0","0","0","0","2","2"
"中央区","9","5","1","4","0","0","0","0","0","3","0"
"みなと","12","53","7","3","0","0","6","0","0","2","1"
"新宿区","21","19","62","18","1","0","22","0","0","7","2"
"文京","4","3","0","0","0","0","5","0","0","1","1"
"台東","11","2","1","21","0","0","0","0","0","2","0"
"墨田区","6","1","1","2","0","0","6","2","0","2","1"
"江東区","11","7","2","8","0","0","0","0","0","2","0"
"品川区","3","3","1","1","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","11","0","0","1","0","0","3","0","0","2","1"
"世田谷","0","0","0","0","0","0","2","1","0","0","2"
"渋谷区","16","18","4","3","0","0","1","0","0","5","1"
"中野区","0","0","0","1","0","0","0","0","0","2","0"
"杉並","5","5","0","1","0","0","2","0","0","2","2"
"池袋","23","13","5","9","0","0","1","2","0","3","1"
"北区","2","0","0","0","0","0","0","0","0","1","0"
"荒川区","3","0","0","0","0","0","0","0","0","1","0"
"板橋区","5","0","1","3","0","0","0","2","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","3","0","3","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","2","1","0","0","1"
"江戸川","9","1","3","1","0","0","0","0","0","2","0"
"八王子市","5","1","0","0","1","0","0","1","0","4","1"
"町田市","2","3","1","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","14","1","0","0","2","0","1","0","0","2","1"
"多摩府中","2","0","0","1","0","0","21","0","0","3","3"
"多摩小平","0","0","0","0","0","0","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","195","136","103","84","4","0","74","9","0","55","25"


