"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年2月"
"集計期間終了月","2026年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","3","0","0","1","0","2","0","0","",""
"中央区","1","3","1","0","0","0","0","0","",""
"みなと","4","2","7","3","0","3","0","0","",""
"新宿区","17","4","12","7","0","7","0","0","",""
"文京","4","0","0","1","0","2","0","1","",""
"台東","0","1","1","1","0","0","0","0","",""
"墨田区","2","0","1","4","0","4","0","0","",""
"江東区","6","2","0","2","0","0","0","0","",""
"品川区","30","13","9","16","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","2","0","0","",""
"世田谷","0","0","0","0","0","2","1","0","",""
"渋谷区","6","0","4","2","0","0","0","0","",""
"中野区","6","0","0","1","0","0","0","0","",""
"杉並","1","1","1","0","0","1","0","0","",""
"池袋","2","0","1","0","0","1","0","0","",""
"北区","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","",""
"板橋区","1","0","1","0","0","2","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","1","0","0","",""
"江戸川","2","1","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","2","0","0","",""
"町田市","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","1","",""
"南多摩","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","5","2","0","",""
"多摩小平","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","",""
"合計","85","27","38","38","0","35","3","2","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年2月"
"集計期間終了月","2026年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","",""
"中央区","3","0","1","1","0","0","0","0","",""
"みなと","0","0","0","0","0","1","0","0","",""
"新宿区","11","1","0","6","2","6","1","1","",""
"文京","0","0","0","0","0","0","0","0","",""
"台東","2","2","4","6","2","0","0","0","",""
"墨田区","4","0","1","0","1","1","0","0","",""
"江東区","1","0","1","0","0","0","0","0","",""
"品川区","21","11","1","5","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","",""
"大田区","1","1","0","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","0","0","",""
"渋谷区","9","2","4","1","1","0","0","0","",""
"中野区","0","0","0","1","1","0","0","0","",""
"杉並","0","0","0","0","0","1","0","0","",""
"池袋","1","3","0","0","1","0","0","0","",""
"北区","0","0","0","0","0","0","0","0","",""
"荒川区","1","0","0","0","0","0","0","0","",""
"板橋区","0","1","0","1","1","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","",""
"足立","1","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","0","",""
"江戸川","8","0","0","1","0","0","0","0","",""
"八王子市","4","2","0","0","0","2","0","0","",""
"町田市","3","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","",""
"多摩立川","5","0","0","0","1","0","0","0","",""
"多摩府中","0","0","0","0","0","2","0","0","",""
"多摩小平","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","",""
"合計","75","23","12","22","10","15","1","1","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年2月"
"集計期間終了月","2026年2月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","3","0","0","1","0","2","0","0","2","2"
"中央区","4","3","2","1","0","0","0","0","3","0"
"みなと","4","2","7","3","0","4","0","0","2","1"
"新宿区","28","5","12","13","2","13","1","1","7","2"
"文京","4","0","0","1","0","2","0","1","1","1"
"台東","2","3","5","7","2","0","0","0","2","0"
"墨田区","6","0","2","4","1","5","0","0","2","1"
"江東区","7","2","1","2","0","0","0","0","2","0"
"品川区","51","24","10","21","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0"
"大田区","1","1","0","0","0","3","0","0","2","1"
"世田谷","0","0","0","0","0","2","1","0","0","2"
"渋谷区","15","2","8","3","1","0","0","0","5","1"
"中野区","6","0","0","2","1","0","0","0","2","0"
"杉並","1","1","1","0","0","2","0","0","2","2"
"池袋","3","3","1","0","1","1","0","0","3","1"
"北区","0","0","0","0","0","0","0","0","1","0"
"荒川区","1","0","0","0","0","0","0","0","1","0"
"板橋区","1","1","1","1","1","2","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0"
"足立","1","0","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","1","0","0","0","1"
"江戸川","10","1","0","1","0","0","0","0","2","0"
"八王子市","4","2","0","0","0","4","0","0","4","1"
"町田市","3","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","1","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0"
"多摩立川","5","0","0","0","1","0","0","0","2","1"
"多摩府中","0","0","0","0","0","7","2","0","3","3"
"多摩小平","0","0","0","0","0","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","1"
"合計","160","50","50","60","10","50","4","3","55","25"


