"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年7月"
"集計期間終了月","2026年7月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","0","1","1","0","0","0","0","",""
"中央区","0","7","3","0","0","0","0","",""
"みなと","2","2","9","1","0","0","0","",""
"新宿区","15","8","11","10","0","8","0","",""
"文京","3","1","0","1","0","0","0","",""
"台東","0","0","0","1","0","0","0","",""
"墨田区","5","1","2","3","0","4","0","",""
"江東区","10","2","2","1","0","0","0","",""
"品川区","25","2","3","17","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","3","0","",""
"渋谷区","3","2","3","3","0","2","0","",""
"中野区","6","1","0","3","0","0","0","",""
"杉並","2","0","0","0","0","2","0","",""
"豊島区","3","2","1","1","0","0","0","",""
"北区","0","0","1","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","",""
"板橋区","1","0","0","0","0","2","0","",""
"練馬区","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","1","0","",""
"江戸川","4","0","0","2","0","0","0","",""
"八王子市","0","0","0","0","0","1","0","",""
"町田市","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","1","0","",""
"南多摩","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","1","",""
"多摩府中","0","0","0","0","0","3","0","",""
"多摩小平","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","79","29","36","43","0","27","1","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年7月"
"集計期間終了月","2026年7月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","0","1","0","0","0","0","0","",""
"中央区","0","0","0","0","0","0","0","",""
"みなと","3","0","0","0","0","2","0","",""
"新宿区","11","3","1","2","1","7","0","",""
"文京","0","0","0","0","0","2","0","",""
"台東","8","3","7","9","0","0","0","",""
"墨田区","2","0","0","0","1","2","0","",""
"江東区","1","0","0","0","0","0","0","",""
"品川区","11","0","0","1","1","0","0","",""
"目黒区","0","0","0","0","0","0","0","",""
"大田区","1","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","3","0","",""
"渋谷区","4","6","2","0","0","0","0","",""
"中野区","0","0","0","0","0","0","0","",""
"杉並","2","0","0","0","0","0","0","",""
"豊島区","2","2","0","1","1","0","0","",""
"北区","0","0","0","0","0","0","0","",""
"荒川区","1","0","0","0","0","0","0","",""
"板橋区","3","0","0","0","0","2","0","",""
"練馬区","0","0","0","0","0","0","0","",""
"足立","5","2","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","1","0","",""
"江戸川","6","1","1","0","0","0","0","",""
"八王子市","3","0","0","0","1","1","0","",""
"町田市","1","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","",""
"多摩立川","3","1","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","2","0","",""
"多摩小平","0","0","0","0","0","1","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","67","19","11","13","5","23","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年7月"
"集計期間終了月","2026年7月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","0","2","1","0","0","0","0","2","2"
"中央区","0","7","3","0","0","0","0","3","0"
"みなと","5","2","9","1","0","2","0","2","1"
"新宿区","26","11","12","12","1","15","0","7","2"
"文京","3","1","0","1","0","2","0","1","1"
"台東","8","3","7","10","0","0","0","2","0"
"墨田区","7","1","2","3","1","6","0","2","1"
"江東区","11","2","2","1","0","0","0","2","0"
"品川区","36","2","3","18","1","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0"
"大田区","1","0","0","0","0","0","0","2","1"
"世田谷","0","0","0","0","0","6","0","0","2"
"渋谷区","7","8","5","3","0","2","0","5","1"
"中野区","6","1","0","3","0","0","0","2","0"
"杉並","4","0","0","0","0","2","0","2","2"
"豊島区","5","4","1","2","1","0","0","3","1"
"北区","0","0","1","0","0","0","0","1","0"
"荒川区","1","0","0","0","0","0","0","1","0"
"板橋区","4","0","0","0","0","4","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0"
"足立","5","2","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","2","0","0","1"
"江戸川","10","1","1","2","0","0","0","2","0"
"八王子市","3","0","0","0","1","2","0","4","1"
"町田市","1","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","1","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0"
"多摩立川","3","1","0","0","0","0","1","2","1"
"多摩府中","0","0","0","0","0","5","0","3","3"
"多摩小平","0","0","0","0","0","1","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","1"
"合計","146","48","47","56","5","50","1","55","25"


