"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2008年1月"
"集計期間終了月","2008年1月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","22","9","6","15","2","0","3","3","0","",""
"区南部","2","0","0","4","0","0","3","0","0","",""
"区西南部","10","1","0","4","0","0","11","0","0","",""
"区西部","29","28","22","31","0","1","41","9","2","",""
"区西北部","15","4","5","10","0","1","0","5","0","",""
"区東北部","1","1","2","4","0","0","1","2","0","",""
"区東部","17","12","3","7","0","0","5","1","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","1","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","2","0","0","6","0","0","",""
"北多摩北部","0","0","0","0","0","0","12","7","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","98","55","38","77","2","2","82","27","2","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2008年1月"
"集計期間終了月","2008年1月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","34","13","4","4","4","0","2","1","0","",""
"区南部","3","0","0","0","0","0","0","0","0","",""
"区西南部","4","8","11","2","1","0","4","0","0","",""
"区西部","14","3","9","6","1","0","23","7","0","",""
"区西北部","9","7","2","1","1","0","3","1","0","",""
"区東北部","2","1","1","0","1","0","6","1","0","",""
"区東部","14","0","3","2","3","0","1","2","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","15","3","0","2","3","0","2","0","1","",""
"北多摩西部","17","1","3","4","0","0","0","0","0","",""
"北多摩南部","1","1","0","0","0","0","2","0","0","",""
"北多摩北部","2","0","0","0","0","0","7","4","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","",""
"合計","115","37","33","21","14","0","51","16","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2008年1月"
"集計期間終了月","2008年1月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","56","22","10","19","6","0","5","4","0","11","4"
"区南部","5","0","0","4","0","0","3","0","0","3","1"
"区西南部","14","9","11","6","1","0","15","0","0","5","3"
"区西部","43","31","31","37","1","1","64","16","2","10","4"
"区西北部","24","11","7","11","1","1","3","6","0","6","2"
"区東北部","3","2","3","4","1","0","7","3","0","3","1"
"区東部","31","12","6","9","3","0","6","3","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","16","3","0","2","3","0","2","0","1","5","1"
"北多摩西部","17","1","3","4","0","0","0","0","0","2","1"
"北多摩南部","2","1","0","2","0","0","8","0","0","3","2"
"北多摩北部","2","0","0","0","0","0","19","11","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","1"
"合計","213","92","71","98","16","2","133","43","3","55","24"


