"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2011年3月"
"集計期間終了月","2011年3月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","31","39","11","16","0","1","18","1","0","0","",""
"区南部","3","0","2","0","0","0","3","0","0","0","",""
"区西南部","6","3","2","2","0","0","2","0","0","0","",""
"区西部","35","10","16","51","0","3","18","1","0","0","",""
"区西北部","13","7","6","6","0","0","3","2","0","0","",""
"区東北部","6","0","2","3","0","0","2","4","0","0","",""
"区東部","14","4","4","8","0","2","1","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","1","0","0","0","0","0","0","0","1","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","2","0","0","1","0","0","13","14","0","0","",""
"北多摩北部","0","0","0","0","0","0","2","3","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","111","63","43","87","0","6","63","27","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2011年3月"
"集計期間終了月","2011年3月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","8","7","4","1","0","0","5","1","1","0","",""
"区南部","5","0","0","0","0","0","0","1","0","0","",""
"区西南部","4","6","3","0","0","0","1","0","0","0","",""
"区西部","12","11","8","3","3","0","7","2","0","0","",""
"区西北部","11","10","1","4","0","0","1","4","0","0","",""
"区東北部","2","1","0","1","0","0","1","4","0","0","",""
"区東部","11","1","3","0","1","0","2","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","10","2","0","1","2","0","0","0","0","0","",""
"北多摩西部","14","1","1","3","2","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","7","4","0","0","",""
"北多摩北部","0","0","0","1","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","77","39","20","14","8","0","24","20","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2011年3月"
"集計期間終了月","2011年3月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","39","46","15","17","0","1","23","2","1","0","10","4"
"区南部","8","0","2","0","0","0","3","1","0","0","3","1"
"区西南部","10","9","5","2","0","0","3","0","0","0","5","2"
"区西部","47","21","24","54","3","3","25","3","0","0","11","4"
"区西北部","24","17","7","10","0","0","4","6","0","0","6","2"
"区東北部","8","1","2","4","0","0","3","8","0","0","3","1"
"区東部","25","5","7","8","1","2","3","4","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","11","2","0","1","2","0","0","0","1","0","5","1"
"北多摩西部","14","1","1","3","2","0","0","0","0","0","2","1"
"北多摩南部","2","0","0","1","0","0","20","18","0","0","3","3"
"北多摩北部","0","0","0","1","0","0","2","5","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","188","102","63","101","8","6","87","47","2","0","55","24"


