"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年4月"
"集計期間終了月","2026年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","12","12","10","6","0","5","0","0","",""
"区南部","30","4","4","10","0","1","0","0","",""
"区西南部","7","1","6","2","0","3","1","0","",""
"区西部","23","12","12","15","0","1","0","0","",""
"区西北部","6","1","2","4","0","2","0","0","",""
"区東北部","0","0","0","0","0","4","0","0","",""
"区東部","9","3","2","9","0","4","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","1","0","0","",""
"北多摩南部","0","0","0","0","0","4","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","",""
"合計","87","33","36","46","0","25","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年4月"
"集計期間終了月","2026年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","7","3","5","6","1","3","0","0","",""
"区南部","8","1","0","1","0","2","0","0","",""
"区西南部","10","13","1","3","0","2","0","0","",""
"区西部","10","1","5","6","1","3","0","0","",""
"区西北部","4","2","0","1","1","1","0","0","",""
"区東北部","6","0","1","2","0","2","0","0","",""
"区東部","11","1","3","5","1","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","",""
"南多摩","5","1","0","1","1","1","0","0","",""
"北多摩西部","8","1","0","0","0","1","0","0","",""
"北多摩南部","1","0","1","0","0","2","0","0","",""
"北多摩北部","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","",""
"合計","70","23","16","25","5","19","0","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年4月"
"集計期間終了月","2026年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","19","15","15","12","1","8","0","0","10","4"
"区南部","38","5","4","11","0","3","0","0","3","1"
"区西南部","17","14","7","5","0","5","1","0","5","3"
"区西部","33","13","17","21","1","4","0","0","11","4"
"区西北部","10","3","2","5","1","3","0","0","6","2"
"区東北部","6","0","1","2","0","6","0","0","3","1"
"区東部","20","4","5","14","1","5","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","1"
"南多摩","5","1","0","1","1","1","0","0","5","1"
"北多摩西部","8","1","0","0","0","2","0","0","2","1"
"北多摩南部","1","0","1","0","0","6","0","0","3","3"
"北多摩北部","0","0","0","0","0","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","1"
"合計","157","56","52","71","5","44","1","0","55","25"


