"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"区中央部","13","4","16","6","0","0","0","",""
"区南部","29","2","4","14","0","4","0","",""
"区西南部","8","1","7","0","0","5","1","",""
"区西部","36","7","9","16","1","8","0","",""
"区西北部","2","0","3","0","0","5","0","",""
"区東北部","1","0","1","0","0","0","1","",""
"区東部","13","4","5","5","0","6","0","",""
"西多摩","0","0","0","0","0","3","0","",""
"南多摩","0","0","0","0","0","3","0","",""
"北多摩西部","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","8","1","",""
"北多摩北部","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","102","18","45","41","1","42","3","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"区中央部","5","1","8","8","2","3","0","",""
"区南部","22","3","1","6","0","0","0","",""
"区西南部","5","8","2","0","0","1","0","",""
"区西部","18","2","3","1","1","6","0","",""
"区西北部","4","3","0","0","1","5","0","",""
"区東北部","2","1","1","0","0","0","1","",""
"区東部","7","0","4","2","2","1","0","",""
"西多摩","0","0","0","0","0","0","0","",""
"南多摩","7","2","0","3","2","3","0","",""
"北多摩西部","4","2","0","1","0","0","0","",""
"北多摩南部","4","1","0","1","0","3","0","",""
"北多摩北部","1","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","79","23","19","22","8","22","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"区中央部","18","5","24","14","2","3","0","10","4"
"区南部","51","5","5","20","0","4","0","3","1"
"区西南部","13","9","9","0","0","6","1","5","3"
"区西部","54","9","12","17","2","14","0","11","4"
"区西北部","6","3","3","0","1","10","0","6","2"
"区東北部","3","1","2","0","0","0","2","3","1"
"区東部","20","4","9","7","2","7","0","6","1"
"西多摩","0","0","0","0","0","3","0","0","1"
"南多摩","7","2","0","3","2","6","0","5","1"
"北多摩西部","4","2","0","1","0","0","0","2","1"
"北多摩南部","4","1","0","1","0","11","1","3","3"
"北多摩北部","1","0","0","0","0","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","1"
"合計","181","41","64","63","9","64","4","55","25"


