"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年8月"
"集計期間終了月","2025年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","15","5","14","9","1","0","5","0","0","",""
"区南部","48","1","9","4","0","0","5","0","0","",""
"区西南部","8","2","2","4","0","0","5","0","0","",""
"区西部","29","9","15","11","2","0","12","0","0","",""
"区西北部","6","0","0","2","0","0","5","0","0","",""
"区東北部","0","0","0","0","0","0","2","0","0","",""
"区東部","11","1","3","10","0","0","4","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","1","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","3","1","2","",""
"北多摩北部","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","118","18","43","40","3","0","42","1","2","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年8月"
"集計期間終了月","2025年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","8","4","9","4","3","0","3","0","0","",""
"区南部","27","3","0","1","0","0","3","0","0","",""
"区西南部","5","3","3","0","0","0","5","0","0","",""
"区西部","14","2","4","4","0","0","5","0","0","",""
"区西北部","3","4","0","1","0","0","5","0","0","",""
"区東北部","2","0","0","1","0","0","5","0","0","",""
"区東部","14","1","0","2","1","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","7","2","0","0","3","0","0","0","0","",""
"北多摩西部","6","0","0","1","0","0","0","0","0","",""
"北多摩南部","1","1","0","0","0","0","3","2","2","",""
"北多摩北部","1","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","88","20","16","14","7","0","30","2","2","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年8月"
"集計期間終了月","2025年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","23","9","23","13","4","0","8","0","0","10","4"
"区南部","75","4","9","5","0","0","8","0","0","3","1"
"区西南部","13","5","5","4","0","0","10","0","0","5","3"
"区西部","43","11","19","15","2","0","17","0","0","11","4"
"区西北部","9","4","0","3","0","0","10","0","0","6","2"
"区東北部","2","0","0","1","0","0","7","0","0","3","1"
"区東部","25","2","3","12","1","0","5","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","8","2","0","0","3","0","0","0","0","5","1"
"北多摩西部","6","0","0","1","0","0","0","0","0","2","1"
"北多摩南部","1","1","0","0","0","0","6","3","4","3","3"
"北多摩北部","1","0","0","0","0","0","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","206","38","59","54","10","0","72","3","4","55","25"


