"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2000年26週"
"集計期間終了週","2000年26週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","1","0","2","2","1","0","6","0","0","2","0","0","2","0","0","1","0","0","0","0","0","0"
"～1歳","0","0","1","0","13","6","7","0","23","0","0","28","1","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","0","3","0","21","5","39","1","10","0","1","69","2","5","1","1","0","1","0","0","0","0","0","0"
"2歳","0","0","1","2","17","12","25","3","0","0","0","66","1","3","0","0","0","0","0","0","0","0","0","0"
"3歳","0","0","1","9","14","22","36","5","0","0","1","78","0","6","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","12","13","13","24","6","0","0","0","41","0","6","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","1","3","20","12","21","7","0","0","0","26","0","15","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","8","14","7","6","5","0","0","0","15","0","5","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","3","6","1","4","3","0","0","0","10","1","4","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","4","8","0","0","5","0","0","0","4","0","6","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","1","4","0","0","2","0","0","0","3","1","3","0","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","3","11","3","0","1","0","0","0","4","1","2","0","0","0","1","0","0","0","0","0","0"
"15～19歳","0","0","0","0","5","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","0","0","1","4","23","0","5","0","0","0","0","5","0","2","0","0","0","3","0","0","0","0","0","0"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","10","49","171","84","168","38","39","0","2","352","7","57","4","1","0","16","0","0","0","0","0","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2000年26週"
"集計期間終了週","2000年26週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","0","0","1","1","1","0","9","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","0","0","1","0","7","6","8","1","28","0","0","17","1","1","2","0","0","0","0","0","0","0","0","0"
"1歳","0","0","0","1","19","9","28","0","11","0","0","50","5","1","3","0","0","0","0","0","0","0","0","0"
"2歳","0","0","1","0","19","14","24","0","0","0","1","42","0","8","3","1","0","0","0","0","0","0","0","0"
"3歳","0","0","0","4","16","29","22","3","0","0","0","47","0","6","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","0","8","14","10","22","2","0","0","0","41","0","12","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","10","16","8","13","9","0","0","0","25","0","14","0","0","0","1","0","0","0","0","0","0"
"6歳","0","0","0","3","17","4","2","3","0","0","0","12","0","7","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","2","9","7","5","3","1","0","0","4","0","6","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","3","8","1","0","3","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","1","4","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","1","14","0","1","2","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0"
"15～19歳","0","0","0","1","6","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"20～29歳","0","0","0","7","28","0","2","1","0","0","1","6","1","0","0","0","0","5","0","0","0","0","0","0"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","3","41","178","90","128","28","49","0","3","253","8","59","11","1","0","14","0","0","0","0","0","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2000年26週"
"集計期間終了週","2000年26週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","1","0","3","3","2","0","15","0","0","6","0","0","3","0","0","1","0","0","0","0","0","0"
"～1歳","0","0","2","0","20","12","15","1","51","0","0","45","2","1","2","0","0","0","0","0","0","0","0","0"
"1歳","0","0","3","1","40","14","67","1","21","0","1","119","7","6","4","1","0","1","0","0","0","0","0","0"
"2歳","0","0","2","2","36","26","49","3","0","0","1","108","1","11","3","1","0","0","0","0","0","0","0","0"
"3歳","0","0","1","13","30","51","58","8","0","0","1","125","0","12","2","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","20","27","23","46","8","0","0","0","82","0","18","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","1","13","36","20","34","16","0","0","0","51","0","29","0","0","0","1","0","0","0","0","0","0"
"6歳","0","0","0","11","31","11","8","8","0","0","0","27","0","12","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","5","15","8","9","6","1","0","0","14","1","10","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","7","16","1","0","8","0","0","0","6","0","7","1","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","2","8","1","0","3","0","0","0","4","1","4","0","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","4","25","3","1","3","0","0","0","6","2","4","0","0","0","1","0","0","0","0","0","0"
"15～19歳","0","0","0","1","11","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"20～29歳","0","0","1","11","51","0","7","1","0","0","1","11","1","2","0","0","0","8","0","0","0","0","0","0"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","13","90","349","174","296","66","88","0","5","605","15","116","15","2","0","30","0","0","0","0","0","0"
"定点数","178","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","14","14","25","25","25","25","25","25"


