"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2006年51週"
"集計期間終了週","2006年51週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","6","0","1","1","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","12","2","0","40","7","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","22","3","1","122","19","7","2","11","0","0","4","0","2","1","1","0","0","0","0","0","0","0"
"2歳","0","11","4","1","97","25","3","1","2","0","0","1","0","3","0","0","0","0","0","0","0","0","0"
"3歳","0","4","4","7","103","23","3","2","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0"
"4歳","0","3","5","20","88","23","4","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","12","109","17","2","5","0","0","0","1","0","5","0","0","0","0","0","0","1","0","0"
"6歳","0","0","7","18","85","10","1","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","26","73","2","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","12","64","1","0","4","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0"
"9歳","0","1","5","9","55","3","0","2","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","1","7","155","2","2","3","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"15～19歳","0","0","0","0","45","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20～29歳","0","9","1","4","293","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","1"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","68","34","118","1330","135","23","26","34","0","0","7","1","31","2","1","0","8","0","0","8","0","1"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2006年51週"
"集計期間終了週","2006年51週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","6","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","7","0","1","43","3","1","2","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","22","2","2","83","23","3","3","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","0","10","3","4","97","20","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","1","5","1","7","86","18","1","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"4歳","0","1","5","16","74","16","4","8","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"5歳","0","0","2","15","100","14","0","9","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"6歳","0","0","8","16","71","11","1","2","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0"
"7歳","0","1","2","11","69","6","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"8歳","0","0","4","16","62","2","2","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"9歳","0","0","2","7","48","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","13","130","2","0","4","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"15～19歳","0","0","0","1","61","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"20～29歳","0","3","3","11","368","4","1","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60～69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
