"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年12週"
"集計期間終了週","2009年12週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","1","1","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","15","1","0","0","26","6","1","0","19","0","1","0","0","0","0","0","0","0","0","0"
"1歳","36","3","3","2","76","14","3","2","25","0","0","0","0","0","0","0","0","0","0","0"
"2歳","37","0","1","9","60","16","3","1","3","0","1","8","1","0","0","0","0","0","1","0"
"3歳","71","0","1","9","48","8","0","2","0","0","0","7","1","0","0","0","0","0","0","0"
"4歳","141","0","1","30","52","11","1","3","0","0","0","4","1","0","0","0","0","0","0","0"
"5歳","161","0","3","31","49","13","0","3","0","0","1","4","0","1","0","0","0","0","0","0"
"6歳","189","0","0","22","30","7","0","0","0","0","0","4","0","0","0","0","0","0","1","0"
"7歳","300","0","0","22","32","0","0","1","0","0","0","4","0","0","0","0","0","0","1","0"
"8歳","212","0","0","22","35","2","0","2","0","0","0","3","0","0","0","0","0","0","0","0"
"9歳","177","0","0","6","24","2","0","1","0","1","1","2","0","0","0","0","0","0","0","0"
"10～14歳","518","0","0","19","41","3","0","3","0","0","1","3","1","0","0","1","0","0","1","0"
"15～19歳","75","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","35","0","1","1","39","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"30～39歳","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40～49歳","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50～59歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60～69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2047","5","10","174","521","85","8","18","47","2","5","39","5","1","0","6","0","0","4","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年12週"
"集計期間終了週","2009年12週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","4","1","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","3","0","2","0","19","5","2","1","23","0","1","0","0","0","0","0","0","0","0","0"
"1歳","31","0","0","5","52","13","0","1","18","0","1","2","0","0","0","0","0","0","0","0"
"2歳","32","0","2","4","42","16","0","1","4","0","0","4","0","0","0","0","0","0","0","0"
"3歳","46","0","2","10","38","14","3","1","0","0","0","4","0","0","0","0","0","0","0","0"
"4歳","103","0","1","16","43","12","1","4","0","0","0","5","0","0","0","0","0","0","0","0"
"5歳","124","0","4","29","27","8","2","3","0","0","0","1","1","0","0","1","0","0","0","0"
"6歳","201","0","1","23","31","9","1","3","0","0","0","7","0","0","0","0","0","0","0","0"
"7歳","260","0","1","18","33","4","0","2","0","0","0","5","0","0","0","0","0","0","0","0"
"8歳","193","0","0","10","30","3","0","2","0","0","0","2","0","0","0","0","0","0","0","0"
"9歳","164","0","1","11","20","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0"
"10～14歳","479","0","0","12","34","4","0","1","0","0","1","4","0","0","0","0","0","0","0","0"
"15～19歳","49","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","46","1","0","6","76","0","1","1","0","0","3","1","0","0","0","2","0","0","0","0"
"30～39歳","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50～59歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1899","2","14","145","451","91","10","21","46","0","6","38","1","0","0","5","0","0","0","1"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年12週"
"集計期間終了週","2009年12週"
"性別","男女合計"

