"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2017年5週"
"集計期間終了週","2017年5週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","17","2","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"～1歳","60","5","1","2","26","1","0","0","19","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","244","5","7","13","76","4","5","1","42","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"2歳","266","2","6","20","45","3","1","1","3","0","0","1","2","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","1"
"3歳","315","1","6","30","58","1","0","1","3","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"4歳","393","0","3","37","71","3","0","2","1","0","0","6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","400","1","1","43","70","6","0","6","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"6歳","458","0","2","38","44","6","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","465","0","0","23","44","3","0","1","0","0","0","6","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"8歳","503","0","1","27","48","4","0","0","0","0","0","9","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","410","0","0","9","41","2","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10～14歳","1479","0","0","30","115","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","3","1"
"15～19歳","451","0","0","3","31","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"20～29歳","329","0","0","4","85","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30～39歳","361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"40～49歳","468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","7","1","0","0","0","0","6","0"
"70～79歳","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","4","0"
"80歳以上","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","23","2","0","2","0","0","19","2"
"合計","7244","16","27","280","761","38","6","14","68","0","1","48","4","1","0","5","1","0","5","5","2","49","3","0","4","0","0","42","4"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2017年5週"
"集計期間終了週","2017年5週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

