"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2018年51週"
"集計期間終了週","2018年51週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","0","5","0","0","10","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","13","20","2","5","93","2","2","3","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"1歳","34","8","12","17","303","1","22","19","27","1","1","0","2","0","0","0","0","0","0","0","2","0","0","1","0","0","1","1"
"2歳","33","2","7","27","242","2","30","16","5","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","48","3","12","35","195","9","18","36","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"4歳","76","1","9","58","181","5","13","40","2","2","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1"
"5歳","98","0","10","76","164","9","5","44","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","126","0","1","59","124","9","5","50","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"7歳","185","0","2","70","104","12","2","22","0","0","2","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","1","0"
"8歳","156","0","0","49","80","9","2","26","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"9歳","141","0","1","28","53","6","2","10","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","1","0","0","0","1"
"10～14歳","303","0","0","65","149","18","2","17","0","0","1","0","0","0","0","0","0","2","0","0","2","0","0","1","0","0","1","1"
"15～19歳","54","0","0","1","32","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","82","0","1","14","118","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30～39歳","90","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","1","0"
"40～49歳","102","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","2","0"
"50～59歳","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"合計","1625","39","57","504","1848","86","105","283","53","3","10","2","6","0","7","1","0","10","0","1","14","0","0","4","0","1","10","4"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2018年51週"
"集計期間終了週","2018年51週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","4","4","0","0","7","2","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"～1歳","13","8","4","3","83","0","3","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","29","7","11","13","269","2","16","6","26","3","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"2歳","44","2","8","20","194","2","25","11","5","2","0","1","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3歳","55","2","4","27","180","4","11","31","5","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","54","2","7","48","147","1","7","45","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
