"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年32週
"集計期間終了週",2019年32週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","24","26","50","379"
"RSウイルス感染症","322","228","550","242"
"咽頭結膜熱","35","37","72","242"
"Ａ群溶血性レンサ球菌咽頭炎","141","133","274","242"
"感染性胃腸炎","437","356","793","242"
"水痘","41","28","69","242"
"手足口病","1015","907","1922","242"
"伝染性紅斑","30","29","59","242"
"突発性発しん","51","41","92","242"
"ヘルパンギーナ","358","350","708","242"
"流行性耳下腺炎","14","7","21","242"
"不明発しん症","6","15","21","242"
"川崎病","2","0","2","242"
"急性出血性結膜炎","0","0","0","36"
"流行性角結膜炎","15","9","24","36"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","1","0","1","25"
