"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年51週
"集計期間終了週",2025年51週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3340","3399","6739","418"
"新型コロナウイルス感染症（COVID-19）","107","141","248","418"
"急性呼吸器感染症（ARI）","12939","13244","26183","418"
"RSウイルス感染症","37","21","58","264"
"咽頭結膜熱","30","19","49","264"
"Ａ群溶血性レンサ球菌咽頭炎","369","291","660","264"
"感染性胃腸炎","1204","1030","2234","264"
"水痘","68","44","112","264"
"手足口病","6","4","10","264"
"伝染性紅斑","9","7","16","264"
"突発性発しん","22","24","46","264"
"ヘルパンギーナ","2","4","6","264"
"流行性耳下腺炎","7","7","14","264"
"不明発しん症","11","2","13","264"
"川崎病","2","1","3","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","16","9","25","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","8","0","8","25"
"クラミジア肺炎(オウム病は除く)","2","0","2","25"
"感染性胃腸炎（ロタウイルス）","2","0","2","25"
"インフルエンザ入院","39","28","67","25"
"COVID-19入院","19","13","32","25"
