"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年4週
"集計期間終了週",2025年4週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1362","1397","2759","418"
"新型コロナウイルス感染症（COVID-19）","703","761","1464","418"
"RSウイルス感染症","76","85","161","263"
"咽頭結膜熱","28","19","47","263"
"Ａ群溶血性レンサ球菌咽頭炎","331","279","610","263"
"感染性胃腸炎","1073","1024","2097","263"
"水痘","52","40","92","263"
"手足口病","10","11","21","263"
"伝染性紅斑","315","284","599","263"
"突発性発しん","33","27","60","263"
"ヘルパンギーナ","1","1","2","263"
"流行性耳下腺炎","8","3","11","263"
"不明発しん症","2","3","5","263"
"川崎病","6","2","8","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","10","11","21","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","8","6","14","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","21","18","39","25"
"COVID-19入院","69","42","111","25"
