"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2007年15週"
"集計期間終了週","2007年15週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","6","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","6","0","0","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","10","1","2","11","22","7","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","16","0","0","1","13","3","0","1","1","0","0","0","1","0","0","0","0","5","0","0","1","0","5","","","","","",""
"文京","6","0","0","1","6","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","6","0","0","1","16","13","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","10","0","0","1","8","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","14","0","0","1","22","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","3","0","1","2","34","6","0","2","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","10","0","0","0","1","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","36","1","2","8","28","9","0","2","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","27","0","0","5","22","8","0","5","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","6","0","1","1","6","3","0","3","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"中野区","13","0","0","4","10","2","0","3","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","","",""
"杉並","24","0","4","3","27","4","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"池袋","6","0","0","3","5","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","14","0","0","0","5","5","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","3","0","3","1","10","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"板橋区","19","0","0","2","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","28","0","0","2","5","0","0","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","9","0","0","6","10","2","3","6","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","25","0","0","1","10","6","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","26","1","3","12","25","2","0","5","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","14","0","0","4","8","7","0","0","2","0","0","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"町田市","34","0","0","3","29","9","0","4","4","0","0","0","0","1","2","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","35","0","0","0","13","6","1","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","13","0","0","7","10","6","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","34","0","0","0","3","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","54","3","0","5","33","5","0","4","6","0","0","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"多摩小平","48","0","1","8","28","2","0","3","1","0","0","0","1","2","0","1","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","555","6","17","93","424","122","6","59","45","0","0","0","5","23","6","1","1","11","0","0","1","0","6","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2007年15週"
"集計期間終了週","2007年15週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","6","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","11","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","19","1","1","10","16","5","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","23","0","0","3","9","1","0","1","2","0","0","0","1","0","0","0","0","4","0","0","0","0","1","","","","","",""
"文京","12","0","0","3","3","4","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","7","0","0","0","9","9","1","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","15","0","0","2","2","3","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","17","0","0","2","15","1","0","2","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"品川区","7","0","0","5","34","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","4","0","0","1","3","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","","","","","",""
"大田区","40","1","0","8","19","9","1","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
