"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2011年7週"
"集計期間終了週","2011年7週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","16","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","27","0","0","2","11","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","64","4","2","10","23","2","2","0","4","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","42","1","1","5","23","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","57","0","1","2","9","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","","","","",""
"台東","43","0","1","9","32","5","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","50","3","1","4","14","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","130","1","2","14","117","6","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","57","0","2","6","45","9","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","18","0","0","2","7","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","144","7","4","14","88","9","1","4","4","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","169","3","0","20","84","7","0","3","2","1","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","27","0","0","2","9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","35","1","1","2","36","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"杉並","122","1","1","5","51","4","0","3","1","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","42","2","0","2","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","57","0","0","9","25","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","73","1","3","9","43","3","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","48","0","2","3","35","3","0","4","3","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","214","0","1","27","44","12","0","3","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","130","0","1","16","78","9","0","1","5","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","116","0","1","7","55","0","1","1","0","0","0","2","0","0","0","1","0","0","4","1","0","","","","","",""
"江戸川","217","0","3","38","87","6","0","6","9","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","285","3","6","32","110","14","2","3","6","0","0","2","0","0","0","2","0","0","1","0","0","","","","","",""
"町田市","223","1","0","30","91","12","1","0","4","0","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","101","0","1","1","37","10","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","130","1","3","10","67","2","1","1","3","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","163","1","4","8","56","7","1","3","4","0","0","4","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","409","1","2","25","104","15","0","4","4","0","0","13","1","0","0","0","1","1","0","0","0","","","","","",""
"多摩小平","217","2","3","36","79","11","0","7","4","0","0","2","0","0","0","0","0","0","2","0","0","","","","","",""
"島しょ","26","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3452","33","46","350","1477","161","10","52","72","4","0","40","11","1","0","3","1","1","9","1","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2011年7週"
"集計期間終了週","2011年7週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","0","0","1","9","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"中央区","27","0","1","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","60","3","6","4","12","8","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","35","1","0","6","14","2","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"文京","41","1","1","3","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","42","0","0","6","37","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","40","2","0","1","7","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","125","0","1","9","101","2","0","1","6","0","1","1","2","0","0","0","0","0","0","0","0","","","","","",""
"品川区","64","0","0","5","29","8","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","21","0","0","2","8","1","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"大田区","138","2","1","13","103","6","1","7","3","0","0","2","2","0","0","1","0","0","0","0","0","","","","","",""
"世田谷","217","3","0","20","55","4","1","3","3","0","0","6","0","0","0","1","0","0","0","0","0","","","","","",""
"渋谷区","28","0","0","2","17","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"中野区","56","3","0","1","40","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","120","0","0","1","44","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","45","0","0","1","5","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"北区","54","0","0","8","19","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"荒川区","75","1","0","11","31","1","0","3","3","2","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","51","1","5","4","35","4","0","7","4","2","0","2","1","0","0","1","0","0","0","0","0","","","","","",""
"練馬区","191","0","4","36","38","4","2","6","5","1","0","3","3","1","0","0","0","0","0","0","0","","","","","",""
"足立","153","0","3","15","65","4","0","1","5","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","106","0","1","9","50","6","0","2","4","0","0","1","0","0","0","0","0","0","4","0","0","","","","","",""
"江戸川","257","0","0","24","100","5","0","4","6","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","270","1","3","36","91","15","0","6","4","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","204","1","0","20","64","13","0","0","3","0","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","93","0","1","3","30","3","0","1","3","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","127","0","2","6","63","5","0","1","3","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","169","1","1","11","51","8","1","0","3","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","374","1","7","14","113","11","0","6","11","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","221","3","2","33","62","11","0","4","6","0","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","13","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3420","24","39","305","1306","141","5","66","82","7","1","38","11","1","0","9","0","0","5","0","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2011年7週"
"集計期間終了週","2011年7週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","19","0","0","1","16","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","4","3","0","2","2","0"
"中央区","54","0","1","2","15","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","124","7","8","14","35","10","2","1","5","0","0","2","1","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","77","2","1","11","37","5","0","3","3","0","0","0","0","0","0","2","0","0","0","0","0","12","8","1","2","2","0"
"文京","98","1","2","5","18","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","7","4","1","1","1","0"
"台東","85","0","1","15","69","12","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","90","5","1","5","21","9","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"江東区","255","1","3","23","218","8","0","2","8","0","1","2","2","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","121","0","2","11","74","17","0","5","2","0","0","1","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","39","0","0","4","15","3","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0","8","5","1","0","0","0"
"大田区","282","9","5","27","191","15","2","11","7","0","0","3","3","0","0","1","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","386","6","0","40","139","11","1","6","5","1","0","9","0","0","0","1","0","0","0","0","0","25","16","2","1","2","0"
"渋谷区","55","0","0","4","26","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","7","4","1","1","1","0"
"中野区","91","4","1","3","76","4","0","5","2","0","0","0","1","0","0","0","0","0","0","0","0","11","7","1","1","1","0"
"杉並","242","1","1","6","95","5","0","7","2","0","0","1","1","0","0","0","0","0","0","0","0","16","10","1","1","1","0"
"池袋","87","2","0","3","15","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","8","5","1","1","1","0"
"北区","111","0","0","17","44","2","0","1","2","0","0","1","0","0","0","1","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","148","2","3","20","74","4","0","3","4","3","0","1","1","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","99","1","7","7","70","7","0","11","7","2","0","5","1","0","0","1","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","405","0","5","63","82","16","2","9","8","1","0","4","3","1","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","283","0","4","31","143","13","0","2","10","3","0","0","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","222","0","2","16","105","6","1","3","4","0","0","3","0","0","0","1","0","0","8","1","0","13","8","1","1","1","0"
"江戸川","474","0","3","62","187","11","0","10","15","0","0","2","0","1","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","555","4","9","68","201","29","2","9","10","0","0","4","0","0","0","2","0","0","1","0","0","18","11","2","1","1","0"
"町田市","427","2","0","50","155","25","1","0","7","0","0","2","4","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","194","0","2","4","67","13","0","1","3","1","0","3","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
