"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2015年22週"
"集計期間終了週","2015年22週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","4","6","10","2","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","1","1","11","15","11","1","4","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","2","2","6","9","20","0","2","1","4","0","5","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","0","1","3","2","9","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","0","5","6","25","1","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","3","0","1","6","11","0","1","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","0","2","27","51","7","7","2","8","0","1","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"品川区","0","0","2","11","19","2","1","3","8","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","2","12","16","0","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","1","17","31","65","2","13","9","6","0","1","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","1","1","4","45","54","6","13","3","1","0","2","4","4","0","0","1","1","0","1","0","0","0","","","","","",""
"渋谷区","2","0","0","1","7","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"中野区","0","0","2","5","34","5","1","4","2","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"杉並","1","0","4","17","34","2","3","3","3","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"池袋","0","0","0","2","4","0","2","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","0","0","0","10","15","1","16","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","2","1","15","5","0","4","8","1","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","2","0","4","21","2","4","9","5","0","0","3","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","1","0","6","40","51","6","10","12","5","0","1","5","0","0","0","2","0","0","0","0","0","0","","","","","",""
"足立","2","0","9","38","56","1","2","9","2","0","0","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","0","0","2","12","30","3","1","5","5","0","0","2","1","0","0","0","0","0","0","1","0","0","","","","","",""
"江戸川","0","0","8","18","43","1","20","4","5","0","6","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","1","9","32","66","19","6","7","8","2","1","4","1","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","1","0","1","34","39","3","1","4","8","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","2","0","2","10","32","5","7","5","5","1","0","0","0","0","0","0","0","0","3","0","0","0","","","","","",""
"南多摩","0","0","4","39","36","0","2","9","5","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","1","1","29","61","6","6","5","6","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","2","0","5","60","79","7","7","26","12","1","3","3","0","0","0","0","0","0","1","0","0","0","","","","","",""
"多摩小平","0","0","9","61","75","5","4","7","5","0","2","0","3","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","19","11","119","598","975","96","145","152","121","5","30","40","13","1","0","9","1","0","5","1","0","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2015年22週"
"集計期間終了週","2015年22週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","2","0","4","10","12","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","0","0","12","16","16","1","1","2","3","1","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","1","2","5","16","0","0","1","2","0","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","0","1","0","9","2","1","0","3","0","0","3","0","0","0","1","0","0","0","0","0","0","","","","","",""
"台東","0","0","2","5","18","1","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","2","0","1","10","11","1","0","6","1","0","2","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","1","0","1","26","45","2","6","3","5","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","0","3","9","25","1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","2","0","2","13","21","0","2","5","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","0","23","31","73","4","14","5","9","1","1","4","2","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","1","0","10","24","46","13","11","11","5","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","0","0","2","9","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","1","0","3","4","35","4","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","1","0","0","13","25","2","2","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","1","0","1","2","5","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北区","0","0","1","12","13","0","10","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","0","2","9","15","0","3","6","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","1","3","7","22","0","4","10","1","2","0","1","0","0","0","0","0","0","1","0","0","0","","","","","",""
"練馬区","1","0","9","23","44","6","4","10","4","0","2","2","0","1","0","2","0","0","0","0","0","0","","","","","",""
