"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2023年27週"
"集計期間終了週","2023年27週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","29","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","5","6","1","0","1","16","1","1","0","0","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","6","27","13","1","7","7","2","3","0","1","21","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","36","20","3","2","9","0","0","0","0","14","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"文京","0","25","0","0","1","7","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","4","14","5","1","3","20","0","7","0","0","39","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","2","76","8","0","0","5","0","1","0","0","17","0","2","0","0","0","0","0","1","0","0","0","","","","","",""
"江東区","13","44","3","0","7","39","0","6","0","1","20","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","16","18","10","1","3","5","1","3","0","0","15","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"目黒区","8","24","5","1","1","6","0","1","0","1","11","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","29","67","36","2","6","55","0","7","0","3","56","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","21","96","26","1","16","42","3","7","0","3","65","2","2","0","0","0","0","0","0","0","0","1","","","","","",""
"渋谷区","11","27","5","0","1","9","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","2","50","8","1","10","19","0","0","0","4","29","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","1","61","8","2","7","15","2","3","0","1","14","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","2","59","8","1","1","1","0","0","0","0","17","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","7","57","13","3","4","14","0","13","0","1","29","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","7","29","30","3","6","16","0","0","0","0","16","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","12","75","13","2","6","20","3","5","0","2","54","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","5","62","14","1","9","28","1","3","1","1","76","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","6","80","13","4","2","35","1","5","1","4","54","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","2","42","3","1","3","20","0","5","0","1","18","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
