"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2023年52週"
"集計期間終了週","2023年52週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","27","5","0","2","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","","","","","",""
"中央区","25","6","0","1","7","9","0","0","1","1","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","",""
"みなと","56","8","0","3","10","13","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","6","4","","","","","",""
"新宿区","84","20","0","6","21","34","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","","","","","",""
"文京","47","7","0","10","12","26","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"台東","77","14","0","5","13","39","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","75","33","0","3","6","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","","","","","",""
"江東区","127","11","0","11","17","38","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","91","10","0","1","14","27","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","41","11","0","3","16","30","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","185","40","0","14","32","88","1","0","0","2","0","0","0","2","0","2","0","0","0","0","0","0","2","","","","","",""
"世田谷","200","40","0","9","27","77","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","4","6","","","","","",""
"渋谷区","28","5","0","1","3","20","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","3","2","","","","","",""
"中野区","149","17","0","2","24","33","2","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"杉並","135","18","1","9","19","52","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","7","","","","","",""
"池袋","57","18","0","5","2","9","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","","","","","",""
"北区","69","29","0","7","26","30","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","106","14","0","7","12","62","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","138","26","0","1","12","63","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","","","","","",""
"練馬区","174","27","0","6","37","59","5","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"足立","115","30","0","23","12","38","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"葛飾区","78","8","0","4","10","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","","","","","",""
"江戸川","210","42","0","23","43","75","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","404","46","1","20","41","95","1","8","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","","","","","",""
"町田市","144","11","0","0","21","15","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","94","9","0","3","6","18","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"南多摩","135","22","0","8","13","33","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","180","38","0","8","58","43","1","1","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩府中","386","63","0","22","63","100","4","5","0","1","0","0","0","0","0","0","1","0","0","0","0","7","11","","","","","",""
"多摩小平","234","44","0","35","51","80","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","6","5","","","","","",""
"島しょ","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3889","674","2","252","633","1243","28","37","4","16","2","2","1","3","1","18","1","1","0","0","0","43","51","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2023年52週"
"集計期間終了週","2023年52週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","20","9","0","1","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","","","","","",""
"中央区","23","3","0","0","3","6","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","56","23","0","1","8","13","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","5","","","","","",""
"新宿区","78","23","0","9","20","17","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","","","","","",""
"文京","62","12","0","5","9","15","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","4","","","","","",""
"台東","71","12","0","1","5","23","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","89","30","0","5","7","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","128","20","0","4","10","46","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","94","13","0","1","13","37","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","42","9","0","2","7","24","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","148","30","0","13","28","91","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","3","","","","","",""
"世田谷","179","33","0","1","25","74","0","0","1","1","0","0","1","0","0","2","0","0","0","0","0","1","0","","","","","",""
"渋谷区","35","12","0","2","1","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"中野区","142","27","0","5","19","30","3","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"杉並","144","22","0","8","12","41","1","3","0","0","0","0","0","0","0","1","0","0","0","0","0","3","4","","","","","",""
"池袋","50","19","0","2","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","74","26","0","6","17","32","3","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"荒川区","84","15","0","10","18","40","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"板橋区","132","28","0","7","10","48","1","0","1","1","0","0","0","0","0","3","0","0","0","0","0","1","2","","","","","",""
"練馬区","197","29","0","5","28","57","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","131","27","0","20","14","47","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"葛飾区","71","13","0","2","9","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","","","","","",""
"江戸川","235","42","0","21","34","84","1","1","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","339","42","1","23","45","80","0","5","0","2","0","0","0","0","0","3","0","0","0","0","0","0","1","","","","","",""
"町田市","129","11","0","4","13","22","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","107","28","0","3","5","9","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","","","","","",""
"南多摩","127","17","0","9","16","39","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","197","37","0","10","47","38","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"多摩府中","376","67","1","17","66","75","4","2","1","2","0","1","0","1","0","1","0","0","0","0","0","6","7","","","","","",""
"多摩小平","246","38","0","32","47","79","0","2","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","","","","","",""
"島しょ","19","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"合計","3825","723","2","229","543","1143","23","23","6","22","2","4","3","1","0","22","0","0","0","0","0","26","49","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2023年52週"
"集計期間終了週","2023年52週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","47","14","0","3","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","4","3","0","2","2","2"
"中央区","48","9","0","1","10","15","0","1","1","2","0","0","0","0","0","4","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","112","31","0","4","18","26","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","8","9","9","6","0","1","1","1"
"新宿区","162","43","0","15","41","51","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","2","6","12","8","2","2","2","2"
"文京","109","19","0","15","21","41","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","7","7","4","1","1","1","1"
"台東","148","26","0","6","18","62","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","164","63","0","8","13","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","8","5","0","1","1","1"
"江東区","255","31","0","15","27","84","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","185","23","0","2","27","64","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"目黒区","83","20","0","5","23","54","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","333","70","0","27","60","179","3","1","0","4","0","0","0","2","0","2","0","0","0","0","0","1","5","21","13","2","1","1","1"
"世田谷","379","73","0","10","52","151","1","1","2","2","0","0","1","0","0","2","0","0","0","0","0","5","6","20","14","2","2","2","2"
"渋谷区","63","17","0","3","4","38","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","3","6","7","4","1","1","1","1"
"中野区","291","44","0","7","43","63","5","4","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","279","40","1","17","31","93","2","3","0","0","0","0","0","1","0","2","0","0","0","0","0","6","11","17","11","1","2","2","2"
"池袋","107","37","0","7","2","23","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","8","5","1","1","1","1"
"北区","143","55","0","13","43","62","4","3","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","190","29","0","17","30","102","3","2","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","270","54","0","8","22","111","2","2","1","1","0","0","0","0","0","4","0","0","0","0","0","3","2","16","10","2","1","1","1"
"練馬区","371","56","0","11","65","116","7","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","246","57","0","43","26","85","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","18","11","2","0","0","0"
"葛飾区","149","21","0","6","19","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","9","5","0","1","1","1"
"江戸川","445","84","0","44","77","159","1","1","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","17","10","2","0","0","0"
"八王子市","743","88","2","43","86","175","1","13","0","2","0","0","0","0","0","4","0","0","0","0","0","1","3","18","11","2","1","1","1"
"町田市","273","22","0","4","34","37","0","2","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","201","37","0","6","11","27","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","2","3","14","8","1","1","1","1"
"南多摩","262","39","0","17","29","72","0","1","0","0","2","1","0","0","0","2","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","377","75","0","18","105","81","2","1","0","3","1","2","0","0","0","1","0","0","0","0","0","0","4","20","13","2","1","1","1"
"多摩府中","762","130","1","39","129","175","8","7","1","3","0","1","0","1","0","1","1","0","0","0","0","13","18","33","21","3","3","3","3"
"多摩小平","480","82","0","67","98","159","1","5","0","6","0","0","0","0","0","0","0","0","0","0","0","11","10","22","14","2","2","2","2"
"島しょ","37","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","1","1","1"
"合計","7714","1397","4","481","1176","2386","51","60","10","38","4","6","4","4","1","40","1","1","0","0","0","69","100","403","252","37","25","25","25"


