"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年39週"
"集計期間終了週","2025年39週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","9","6","52","1","0","2","6","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中央区","1","4","128","0","0","1","15","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"みなと","14","9","229","5","2","3","12","0","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"新宿区","4","16","128","2","2","3","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"文京","20","18","283","6","0","0","9","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"台東","5","4","199","3","0","4","25","0","2","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","7","18","79","2","0","2","0","1","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","",""
"江東区","40","13","458","4","0","6","44","1","3","0","3","3","1","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"品川区","2","10","169","1","0","5","10","2","1","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","","","","","","",""
"目黒区","10","10","149","2","0","1","10","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","27","48","401","5","6","9","42","0","2","2","4","3","1","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"世田谷","20","30","615","14","3","14","22","1","4","2","0","7","8","0","0","0","3","0","0","0","0","0","0","1","","","","","","",""
"渋谷区","11","13","115","1","0","1","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中野区","33","17","460","1","5","0","7","0","2","0","1","3","1","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"杉並","22","22","279","11","1","3","10","0","0","0","3","1","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","",""
"池袋","4","13","230","5","0","1","4","1","0","0","1","5","0","0","0","0","1","0","0","1","0","0","0","0","","","","","","",""
"北区","12","30","271","6","2","8","16","0","6","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"荒川区","8","16","289","18","0","7","15","0","6","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","14","29","345","4","0","4","21","3","0","3","2","2","1","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"練馬区","22","17","313","5","1","11","24","2","1","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","23","38","536","18","3","14","14","1","1","3","2","4","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","4","12","272","3","0","2","15","0","0","0","1","0","1","1","0","0","0","0","0","4","0","0","0","2","","","","","","",""
"江戸川","17","39","544","5","5","10","19","3","3","3","0","11","0","5","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"八王子市","20","48","1003","7","2","20","30","3","3","6","0","7","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"町田市","8","17","742","5","1","23","50","2","3","8","2","7","2","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","1","32","184","1","0","13","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"南多摩","7","28","335","5","0","4","17","1","0","2","1","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","14","29","423","6","3","11","14","1","2","1","1","11","0","0","0","0","5","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","37","60","1079","12","1","19","32","1","2","2","2","9","0","1","0","0","0","0","0","1","0","0","1","6","","","","","","",""
"多摩小平","26","38","790","6","3","17","70","4","3","3","1","8","0","0","0","0","0","0","0","2","0","0","0","6","","","","","","",""
"島しょ","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","442","685","11115","164","40","218","583","28","51","37","35","102","17","11","2","0","20","0","0","10","0","0","1","25","","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年39週"
"集計期間終了週","2025年39週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","5","13","66","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","",""
"中央区","3","8","111","1","0","0","8","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"みなと","15","8","225","5","1","4","5","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"新宿区","5","20","132","1","0","5","7","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"文京","14","12","289","2","0","2","6","0","1","1","3","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"台東","6","8","179","0","0","5","25","1","6","1","3","3","0","2","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","5","13","76","1","0","3","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"江東区","29","25","475","1","0","6","35","1","3","0","2","4","0","0","1","0","1","0","0","0","0","0","0","0","","","","","","",""
"品川区","4","11","155","1","0","2","6","0","0","1","1","2","0","1","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"目黒区","10","13","160","6","0","0","4","0","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","15","51","360","3","4","17","25","0","3","2","0","2","0","2","0","2","1","0","0","0","0","0","0","2","","","","","","",""
"世田谷","18","36","619","5","3","5","14","0","3","1","2","9","5","0","0","0","2","0","0","0","0","0","0","5","","","","","","",""
"渋谷区","13","11","119","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中野区","31","15","441","2","6","0","10","1","2","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"杉並","18","34","284","8","1","4","13","1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","","","","","","",""
"池袋","5","12","239","1","0","0","4","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北区","9","29","285","4","1","6","12","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","5","27","249","11","1","0","8","2","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","14","31","391","6","0","4","15","1","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"練馬区","23","39","350","3","0","15","22","0","3","0","4","6","0","1","0","0","4","0","0","0","0","0","0","0","","","","","","",""
"足立","22","47","625","12","2","8","20","1","1","0","3","5","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","6","19","266","3","0","3","5","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","",""
"江戸川","22","47","555","1","3","5","11","1","3","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"八王子市","6","46","943","5","1","22","19","8","1","8","0","3","1","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"町田市","7","30","704","4","0","14","49","2","1","2","1","23","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","1","23","174","0","0","8","7","0","0","0","1","0","0","1","0","0","0","0","0","3","0","0","0","4","","","","","","",""
"南多摩","6","31","325","2","0","2","7","1","3","3","2","2","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","11","51","379","5","2","10","16","1","2","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","34","65","946","3","3","19","35","1","1","1","1","18","0","2","0","0","1","0","0","0","0","0","0","9","","","","","","",""
