"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年3週"
"集計期間終了週","2026年3週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","1","58","1","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"中央区","8","1","71","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","22","1","157","1","1","3","24","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"新宿区","29","4","132","0","1","6","23","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","",""
"文京","45","3","203","0","0","4","35","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"台東","14","3","169","0","0","9","31","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","17","2","68","1","0","5","11","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","","","","","","",""
"江東区","82","3","348","0","2","9","88","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","37","2","147","1","0","4","36","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"目黒区","17","2","102","1","0","5","18","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","78","6","431","1","3","17","89","1","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"世田谷","67","8","551","2","0","11","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","","","","","","",""
"渋谷区","21","3","99","0","0","2","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
