"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年1週"
"集計期間終了週","2025年1週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","29","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","","","","","",""
"中央区","10","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","23","3","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11","2","","","","","",""
"新宿区","62","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","1","","","","","",""
"文京","24","3","0","0","0","7","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","6","2","","","","","",""
"台東","39","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","96","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","5","","","","","",""
"江東区","183","5","1","0","3","3","5","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","18","3","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","10","2","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","38","2","2","0","5","4","2","0","2","1","0","0","0","0","0","1","0","0","0","0","0","1","0","","","","","",""
"世田谷","59","6","2","3","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","6","","","","","",""
"渋谷区","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","","","","","",""
"中野区","126","9","0","0","4","10","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","35","2","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","6","4","","","","","",""
"池袋","54","2","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","32","4","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","145","11","2","0","1","6","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","116","9","0","1","0","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","5","3","","","","","",""
"練馬区","23","1","0","0","14","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","128","17","2","3","1","13","0","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","37","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","3","","","","","",""
"江戸川","116","13","0","0","0","5","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","","","","","",""
"八王子市","255","18","1","0","1","10","2","1","4","0","0","0","0","0","0","0","0","0","0","0","0","8","5","","","","","",""
"町田市","68","5","0","0","3","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","60","10","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","15","6","","","","","",""
"南多摩","144","9","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","64","4","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","","","","","",""
"多摩府中","60","6","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","1","2","0","0","24","7","","","","","",""
"多摩小平","106","13","1","0","2","3","2","1","4","0","0","0","0","0","0","0","0","0","1","0","0","15","7","","","","","",""
"島しょ","67","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","","","","","",""
"合計","2230","206","13","7","49","100","23","4","36","5","0","2","0","3","0","7","0","1","7","0","0","151","59","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年1週"
"集計期間終了週","2025年1週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","28","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","","","","","",""
"中央区","7","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","31","6","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","1","","","","","",""
"新宿区","68","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","2","","","","","",""
"文京","35","2","0","0","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","","","","","",""
"台東","35","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","110","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","","","","","",""
"江東区","181","6","0","0","1","4","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","26","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","54","4","0","0","1","5","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","3","2","","","","","",""
"世田谷","54","7","0","0","0","4","1","0","2","1","0","0","0","0","0","1","0","0","1","0","0","15","4","","","","","",""
"渋谷区","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","3","","","","","",""
"中野区","148","6","0","0","5","4","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","35","1","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","5","6","","","","","",""
"池袋","42","13","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","35","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","115","18","2","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","96","13","0","0","2","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","2","","","","","",""
"練馬区","21","0","1","0","9","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","120","22","0","1","3","10","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","41","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","3","","","","","",""
"江戸川","133","20","0","2","2","10","0","0","5","0","0","0","0","1","0","4","0","0","0","0","0","0","0","","","","","",""
"八王子市","265","17","0","0","2","6","4","1","4","0","0","0","0","0","0","0","0","0","0","0","0","11","3","","","","","",""
"町田市","83","5","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","75","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","","","","","",""
"南多摩","138","10","1","0","2","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","67","4","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","","","","","",""
