"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年32週"
"集計期間終了週","2025年32週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","7","69","0","0","5","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"中央区","0","12","125","0","0","0","19","0","0","1","1","4","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"みなと","1","18","182","7","1","3","6","2","3","0","0","11","0","0","0","0","0","0","0","0","0","0","1","5","","","","","","",""
"新宿区","2","19","141","3","0","2","8","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","2","","","","","","",""
"文京","5","19","302","4","0","7","10","1","4","0","1","3","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"台東","2","11","216","3","0","4","34","2","4","3","2","5","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","0","20","81","1","2","4","4","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"江東区","4","19","425","10","0","4","51","2","1","0","2","15","1","2","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"品川区","0","20","124","1","0","9","5","0","2","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","1","14","157","2","1","2","14","0","0","2","0","8","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","1","40","375","7","2","12","45","7","9","2","0","21","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","",""
"世田谷","7","41","625","2","1","12","26","3","0","2","2","18","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","",""
"渋谷区","1","14","70","0","0","2","2","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","5","","","","","","",""
"中野区","2","23","437","2","0","11","11","1","4","1","2","10","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","5","23","299","10","0","3","21","1","2","0","0","13","0","0","0","0","0","0","0","0","0","0","0","13","","","","","","",""
"池袋","3","25","208","2","0","1","5","1","2","1","0","5","0","1","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"北区","0","47","301","6","1","16","12","1","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","1","10","249","9","0","3","17","3","1","2","0","10","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","4","34","386","1","2","6","17","2","1","0","3","3","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","",""
"練馬区","2","51","358","5","2","16","22","7","2","2","2","16","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","1","49","546","9","7","16","25","1","5","8","6","7","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","2","27","303","0","0","4","15","1","0","0","2","2","0","0","0","0","0","0","0","2","0","0","0","6","","","","","","",""
"江戸川","0","52","526","4","2","13","22","1","6","2","1","11","0","1","0","0","3","0","0","0","0","0","0","0","","","","","","",""
"八王子市","0","36","854","7","2","17","31","0","3","6","2","14","1","0","0","0","2","0","0","0","0","0","0","2","","","","","","",""
