"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2001年48週"
"集計期間終了週","2001年48週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","0","2","50","4","4","0","3","0","0","3","0","1","1","0","0","0","0","0","0","1","0","0","","","","","",""
"区南部","1","0","0","9","68","4","3","0","6","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","0","3","101","14","2","1","12","0","0","0","0","12","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","0","3","83","7","0","1","1","0","0","0","0","14","1","0","0","2","0","0","0","0","0","0","","","","","",""
"区西北部","3","0","0","5","50","7","3","1","7","0","1","1","0","8","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","0","1","33","6","0","5","3","0","0","0","0","9","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","0","0","1","16","62","9","4","0","2","0","0","0","0","7","2","0","0","1","0","0","1","0","0","0","","","","","",""
"西多摩","0","0","0","5","35","1","0","2","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","0","34","7","1","1","3","0","0","1","0","10","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","1","0","0","3","17","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","3","2","35","1","0","1","3","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","0","4","35","7","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5","0","4","53","603","69","17","12","42","0","1","5","0","81","6","0","1","4","0","0","1","1","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2001年48週"
"集計期間終了週","2001年48週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","0","1","1","57","12","4","0","4","0","0","3","0","1","1","1","0","0","0","0","0","1","0","0","","","","","",""
"区南部","1","0","0","8","52","10","3","2","2","0","0","0","0","6","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","1","0","1","3","101","11","5","3","5","0","0","0","0","17","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","0","3","89","5","0","1","3","0","0","0","0","5","1","0","0","2","0","0","0","1","0","0","","","","","",""
"区西北部","2","0","0","3","39","6","1","1","2","0","1","2","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","0","7","42","8","1","5","3","0","0","0","0","6","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","0","0","1","14","57","8","1","0","7","0","0","0","0","7","2","0","0","1","0","0","1","0","0","0","","","","","",""
"西多摩","0","0","0","1","26","5","0","2","3","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","3","35","4","1","1","1","0","0","2","0","10","1","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","2","0","0","3","13","2","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","3","2","24","2","1","1","4","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","0","2","38","9","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
