"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2006年21週"
"集計期間終了週","2006年21週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","2","7","33","34","32","4","7","4","0","0","3","0","5","0","0","0","3","0","0","0","0","0","","","","","",""
"区南部","0","0","35","25","56","15","2","13","4","0","0","14","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","7","14","40","18","8","5","4","0","0","5","0","7","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","1","2","1","22","48","14","1","1","6","0","0","7","0","5","2","1","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","0","4","13","25","14","3","6","6","0","0","11","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","4","14","22","11","2","3","4","0","0","18","0","4","3","0","0","0","0","0","0","0","0","","","","","",""
"区東部","2","0","6","19","30","11","0","6","3","0","0","19","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","0","0","3","4","8","1","0","1","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","8","44","42","17","2","1","6","0","0","18","0","4","1","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","2","0","2","7","1","1","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","4","10","12","15","1","0","3","0","0","7","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","4","0","5","10","28","3","2","2","7","0","0","9","0","9","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","7","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","8","6","91","210","361","152","26","47","50","0","0","120","0","42","6","2","0","5","0","0","0","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2006年21週"
"集計期間終了週","2006年21週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","2","1","8","24","30","23","1","12","2","0","0","3","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"区南部","0","0","11","20","49","15","1","8","5","0","1","19","0","9","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","6","6","35","11","8","4","4","0","0","3","0","7","1","0","0","0","0","0","0","0","0","","","","","",""
"区西部","1","2","4","14","47","17","1","2","4","0","0","8","0","13","2","1","0","6","0","0","0","0","0","","","","","",""
"区西北部","0","0","4","8","35","11","1","5","6","0","0","11","0","3","0","0","0","0","0","0","1","0","0","","","","","",""
"区東北部","0","0","10","15","21","18","1","2","2","0","0","16","0","5","1","2","0","0","0","0","0","0","0","","","","","",""
"区東部","2","0","10","19","32","18","0","8","5","0","0","6","0","6","1","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","0","0","2","3","10","6","0","2","1","0","0","4","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","1","3","28","37","12","2","1","7","0","0","11","0","1","1","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","2","0","1","7","1","3","1","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","7","7","15","17","1","4","5","0","0","7","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","1","0","5","4","19","6","2","1","2","0","0","14","0","10","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","8","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","6","6","78","150","340","155","21","50","44","0","1","103","0","62","6","4","0","10","0","0","1","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2006年21週"
"集計期間終了週","2006年21週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
