"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2009年44週"
"集計期間終了週","2009年44週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","255","6","2","8","13","0","2","0","3","0","0","2","0","0","0","2","0","0","0","1","","","","","",""
"区南部","304","1","0","7","31","1","1","2","3","1","1","1","0","0","0","1","0","0","0","0","","","","","",""
"区西南部","303","0","0","4","13","3","2","0","8","0","0","1","1","1","0","1","0","0","0","0","","","","","",""
"区西部","383","0","0","3","27","3","1","0","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","422","0","0","3","13","1","2","1","4","0","3","6","0","0","0","4","0","0","0","0","","","","","",""
"区東北部","366","0","0","5","16","3","7","1","2","0","2","6","1","0","0","1","0","0","1","1","","","","","",""
"区東部","427","0","0","8","15","1","4","1","3","0","1","4","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","107","0","0","0","5","1","1","0","1","1","0","6","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","833","0","1","36","36","17","2","0","7","0","4","10","3","0","1","1","0","0","0","0","","","","","",""
"北多摩西部","118","0","0","0","5","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","298","0","0","2","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","332","0","0","3","8","1","3","0","4","0","1","2","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4154","7","3","79","182","33","26","5","37","2","12","44","5","1","1","11","0","0","1","2","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2009年44週"
"集計期間終了週","2009年44週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","298","5","2","6","12","0","4","1","6","0","0","1","0","0","0","2","0","0","0","1","","","","","",""
"区南部","252","1","1","4","34","1","3","2","4","2","1","1","0","0","0","1","0","0","0","0","","","","","",""
