"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2012年31週"
"集計期間終了週","2012年31週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","1","7","6","35","1","15","0","9","0","37","2","1","0","0","1","0","0","0","0","0","","","","","",""
"区南部","0","2","28","18","46","13","13","0","12","0","43","1","2","0","0","4","0","0","0","0","0","","","","","",""
"区西南部","0","3","1","16","47","1","32","3","8","0","57","1","2","0","0","1","0","0","1","0","0","","","","","",""
"区西部","0","5","0","11","31","3","4","0","8","0","47","1","2","0","1","1","1","0","0","0","0","","","","","",""
"区西北部","0","2","12","11","40","12","23","1","13","0","95","4","2","0","0","1","0","0","1","0","0","","","","","",""
"区東北部","0","2","6","16","84","8","22","0","13","0","69","6","3","0","0","5","0","0","1","0","0","","","","","",""
"区東部","0","9","16","22","80","7","21","0","14","0","78","1","12","0","0","3","0","1","0","0","0","","","","","",""
"西多摩","0","1","0","2","14","2","3","0","1","0","15","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","10","3","24","97","12","23","5","14","0","164","8","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","2","0","10","13","6","1","1","3","0","28","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","1","5","23","3","3","1","7","0","51","1","2","0","0","0","0","1","1","0","0","","","","","",""
"北多摩北部","0","1","11","13","26","4","7","0","9","0","70","3","3","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2","38","85","154","536","72","167","11","112","0","754","30","29","0","1","17","1","2","4","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2012年31週"
"集計期間終了週","2012年31週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","2","5","8","27","4","21","0","4","0","22","4","1","0","0","1","0","0","0","0","0","","","","","",""
"区南部","0","2","16","17","50","5","10","0","8","2","55","3","2","0","0","2","0","0","0","0","0","","","","","",""
"区西南部","0","3","5","23","38","1","17","2","11","0","53","3","2","0","0","1","0","0","1","0","0","","","","","",""
"区西部","1","5","0","7","32","5","2","0","5","0","33","1","2","0","2","1","2","0","1","0","2","","","","","",""
"区西北部","0","2","6","9","35","7","21","1","5","0","80","2","1","0","0","2","0","0","1","0","0","","","","","",""
"区東北部","1","6","7","14","67","2","17","2","10","0","70","2","3","0","0","5","0","0","1","0","0","","","","","",""
"区東部","0","11","13","8","60","6","16","2","8","0","63","2","12","0","0","3","0","1","0","0","0","","","","","",""
"西多摩","0","1","1","2","7","2","2","0","2","0","10","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","2","7","21","71","16","23","2","13","2","149","10","7","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","1","0","10","12","3","2","1","3","0","22","2","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","1","1","5","21","3","4","1","8","0","47","1","1","0","0","1","0","1","1","0","0","","","","","",""
"北多摩北部","1","1","7","8","26","3","6","0","8","1","54","3","3","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5","37","68","133","446","57","141","11","86","5","658","33","35","0","2","17","2","2","5","0","2","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2012年31週"
"集計期間終了週","2012年31週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","3","12","14","62","5","36","0","13","0","59","6","1","0","0","2","0","0","0","0","0","32","20","2","4","4","0"
"区南部","0","4","44","35","96","18","23","0","20","2","98","4","4","0","0","6","0","0","0","0","0","32","21","3","1","1","0"
"区西南部","0","3","6","39","85","2","49","5","19","0","110","4","4","0","0","2","0","0","1","0","0","40","25","4","3","3","0"
"区西部","1","10","0","18","63","8","6","0","13","0","80","2","2","0","3","1","3","0","1","0","2","37","23","3","4","4","0"
"区西北部","0","2","18","20","75","19","44","2","18","0","175","6","3","0","0","3","0","0","1","0","0","56","35","6","2","2","0"
"区東北部","1","8","13","30","151","10","39","2","23","0","139","8","3","0","0","5","0","0","2","0","0","40","25","4","1","1","0"
"区東部","0","20","29","30","140","13","37","2","22","0","141","3","24","0","0","6","0","2","0","0","0","41","26","4","1","1","0"
"西多摩","0","1","1","4","21","4","5","0","3","0","25","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","2","12","10","45","168","28","46","7","27","2","313","18","7","0","0","0","0","0","0","0","0","45","28","4","1","1","0"
"北多摩西部","0","3","0","20","25","9","3","1","6","0","50","4","1","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"北多摩南部","0","1","1","10","44","6","7","2","15","0","98","1","3","0","0","1","0","1","1","0","0","30","19","3","3","3","0"
"北多摩北部","1","2","18","21","52","7","13","0","17","1","124","3","3","0","0","1","0","0","0","0","0","23","15","2","2","2","0"
"島しょ","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","5","69","152","287","982","129","308","21","197","5","1412","59","55","0","3","27","3","3","6","0","2","413","260","38","25","25","0"


