"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2015年17週"
"集計期間終了週","2015年17週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","23","9","10","27","58","8","3","14","11","0","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区南部","39","4","5","67","110","5","1","7","7","1","0","1","4","0","0","2","0","0","0","0","0","0","","","","","",""
"区西南部","20","0","5","54","116","10","4","14","8","0","0","1","1","1","0","2","0","0","1","0","0","1","","","","","",""
"区西部","16","3","1","29","81","5","3","15","4","0","1","0","0","1","0","0","1","0","0","0","0","0","","","","","",""
"区西北部","44","3","3","49","86","9","8","20","20","1","0","4","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","25","3","4","50","120","8","7","26","13","0","1","2","1","0","0","1","0","0","1","0","1","0","","","","","",""
"区東部","19","4","9","88","146","12","4","13","14","0","0","10","0","0","0","1","1","0","0","0","0","0","","","","","",""
"西多摩","3","0","0","2","30","1","0","2","1","0","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","20","1","2","102","213","12","5","33","12","0","3","5","3","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩西部","10","0","2","34","46","2","1","6","4","0","0","1","0","0","0","0","0","0","1","1","0","0","","","","","",""
"北多摩南部","25","1","3","39","90","7","3","21","8","0","0","3","1","0","0","0","0","0","1","0","0","0","","","","","",""
"北多摩北部","11","0","2","43","76","3","2","14","7","0","1","2","0","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","19","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","274","28","46","586","1172","82","41","185","109","2","6","37","12","2","0","10","3","0","4","1","1","1","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2015年17週"
"集計期間終了週","2015年17週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","21","3","8","23","62","6","1","10","9","0","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区南部","34","2","3","44","103","5","3","14","6","1","0","1","1","0","0","2","0","0","0","0","0","0","","","","","",""
"区西南部","28","1","6","47","86","9","4","7","5","0","0","1","1","1","0","3","0","0","1","0","0","1","","","","","",""
"区西部","11","4","3","20","84","3","3","21","10","0","1","0","2","1","0","0","1","0","0","0","0","0","","","","","",""
"区西北部","36","1","7","30","76","11","8","24","6","1","3","5","3","0","0","1","0","0","0","0","1","0","","","","","",""
