"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2020年38週"
"集計期間終了週","2020年38週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","0","4","30","1","1","1","5","3","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区南部","0","0","2","5","33","3","3","0","4","3","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","0","6","17","0","1","1","5","2","3","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区西部","0","0","1","4","20","4","2","0","8","2","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","0","0","5","32","5","3","0","7","2","0","1","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","2","10","31","2","3","0","10","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"区東部","0","0","2","9","35","3","2","2","7","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","1","8","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","1","11","50","1","1","0","4","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","5","12","5","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","1","13","6","0","0","7","2","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","0","6","15","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","0","0","8","67","296","30","17","4","69","14","11","4","1","0","7","1","0","0","0","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2020年38週"
"集計期間終了週","2020年38週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","0","5","22","1","1","1","6","1","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区南部","0","0","3","3","24","3","1","0","11","4","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","0","5","31","1","1","1","5","1","3","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区西部","0","0","1","3","16","3","1","0","4","2","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","0","1","7","22","1","3","0","8","3","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","1","6","24","1","1","1","7","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"区東部","0","0","2","1","25","2","2","1","7","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","1","1","10","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","1","9","47","1","3","0","10","1","1","0","1","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","1","5","13","2","1","0","2","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
