"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2023年27週"
"集計期間終了週","2023年27週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","18","101","19","2","12","53","3","12","0","2","80","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","45","85","46","3","9","60","1","10","0","3","71","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","40","147","36","2","18","57","4","8","0","4","79","3","3","0","0","0","0","0","0","0","0","1","","","","","",""
"区西部","3","147","36","6","19","43","2","3","0","5","57","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","26","253","48","7","20","63","4","21","1","4","176","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","15","151","46","8","11","71","1","10","1","5","88","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","22","187","22","2","17","81","0","10","0","1","77","0","2","0","0","0","0","0","1","0","0","0","","","","","",""
"西多摩","4","32","2","0","1","8","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","10","158","40","3","19","90","0","26","1","3","153","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","3","69","12","3","23","32","0","2","5","1","70","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","42","119","21","8","24","45","1","14","0","4","111","1","2","3","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","27","74","28","8","17","40","5","5","0","4","88","1","1","0","0","0","0","0","0","0","0","1","","","","","",""
"島しょ","0","35","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","255","1558","356","52","192","643","21","121","8","36","1065","11","10","3","0","6","0","0","1","0","0","2","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2023年27週"
"集計期間終了週","2023年27週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","23","109","36","2","8","32","2","5","0","2","66","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","39","103","40","5","7","45","1","8","0","4","85","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
