"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2023年51週"
"集計期間終了週","2023年51週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","244","63","2","28","55","134","2","2","0","2","1","1","1","0","0","3","0","0","0","0","0","5","25","","","","","",""
"区南部","282","55","0","36","49","132","1","3","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","","","","","",""
"区西南部","240","45","0","15","64","126","1","2","1","2","0","3","2","0","0","1","0","0","0","0","0","2","4","","","","","",""
"区西部","305","68","0","13","63","137","2","4","0","4","0","0","0","0","0","4","0","0","0","0","0","4","3","","","","","",""
"区西北部","476","91","0","43","90","187","7","6","4","2","0","0","1","0","0","2","0","0","0","0","0","4","4","","","","","",""
"区東北部","326","68","0","56","59","142","2","3","1","4","1","0","1","0","0","0","0","0","0","0","0","1","2","","","","","",""
"区東部","373","77","0","50","77","166","1","2","0","2","0","0","2","0","0","0","1","0","0","0","0","1","7","","","","","",""
"西多摩","122","11","0","1","13","9","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"南多摩","601","58","0","37","95","164","4","16","1","3","1","0","0","0","0","1","0","0","0","0","0","2","1","","","","","",""
"北多摩西部","194","16","0","6","48","58","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","414","45","0","24","108","103","6","2","1","4","0","1","1","1","0","0","0","0","1","0","0","6","7","","","","","",""
"北多摩北部","264","30","0","54","79","116","0","8","0","3","1","0","1","0","0","0","0","0","0","0","0","4","9","","","","","",""
"島しょ","14","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3855","629","2","363","801","1474","29","51","9","26","4","5","9","1","0","14","1","0","1","0","0","30","66","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2023年51週"
"集計期間終了週","2023年51週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","238","54","2","27","61","109","2","1","2","1","1","1","1","0","0","4","0","0","0","0","0","5","25","","","","","",""
"区南部","259","44","0","29","53","116","3","3","0","3","0","1","0","0","0","3","0","0","0","0","0","1","0","","","","","",""
"区西南部","275","54","2","16","47","146","3","4","3","1","1","3","1","0","0","2","0","0","0","0","0","5","9","","","","","",""
"区西部","301","81","0","10","53","114","2","4","0","2","0","0","0","0","0","5","0","0","0","0","0","1","5","","","","","",""
"区西北部","376","101","1","39","73","173","3","4","4","5","1","0","1","0","0","5","0","0","0","0","0","4","1","","","","","",""
"区東北部","323","64","0","59","66","163","2","3","1","2","1","0","1","0","0","1","0","0","1","0","0","2","2","","","","","",""
"区東部","354","74","0","37","69","147","1","1","0","2","0","0","2","0","0","0","1","0","0","0","0","1","3","","","","","",""
"西多摩","130","22","0","5","4","12","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"南多摩","509","62","0","34","81","128","2","12","1","3","1","0","1","0","0","2","0","0","0","0","0","1","2","","","","","",""
"北多摩西部","205","27","0","11","39","33","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","","","","","",""
"北多摩南部","394","51","1","27","82","110","3","2","2","3","0","1","1","1","0","0","0","0","1","0","0","2","5","","","","","",""
"北多摩北部","262","31","0","54","80","99","2","5","0","3","1","0","1","0","0","1","0","0","0","0","0","5","4","","","","","",""
"島しょ","5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3631","667","6","348","709","1350","25","43","14","26","6","6","9","1","0","24","1","0","2","0","0","30","61","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2023年51週"
"集計期間終了週","2023年51週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","482","117","2","55","116","243","4","3","2","3","1","1","1","0","0","7","0","0","0","0","0","10","50","32","20","2","4","4","4"
"区南部","541","99","0","65","102","248","4","6","0","3","0","1","0","0","0","3","0","0","0","0","0","1","0","33","21","3","1","1","1"
"区西南部","515","99","2","31","111","272","4","6","4","3","1","3","3","0","0","3","0","0","0","0","0","7","13","37","24","4","3","3","3"
"区西部","606","149","0","23","116","251","4","4","0","6","0","0","0","0","0","9","0","0","0","0","0","5","8","39","25","4","4","4","4"
"区西北部","852","192","1","82","163","360","10","10","4","7","1","0","1","0","0","7","0","0","0","0","0","4","5","56","35","6","2","2","2"
"区東北部","649","132","0","115","125","305","2","6","1","6","1","0","1","0","0","1","0","0","1","0","0","3","2","40","25","4","1","1","1"
"区東部","727","151","0","87","146","313","2","3","0","4","0","0","2","0","0","0","1","0","0","0","0","2","10","40","25","4","1","1","1"
"西多摩","252","33","0","6","17","21","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","1","8","14","8","1","1","1","1"
"南多摩","1110","120","0","71","176","292","6","28","1","6","2","0","1","0","0","3","0","0","0","0","0","3","3","45","28","4","1","1","1"
"北多摩西部","399","43","0","17","87","91","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","21","14","2","1","1","1"
"北多摩南部","808","96","1","51","190","213","9","4","3","7","0","1","2","1","0","0","0","0","2","0","0","8","12","33","21","3","3","3","3"
"北多摩北部","526","61","0","108","159","215","2","13","0","6","1","0","1","0","0","1","0","0","0","0","0","9","13","22","14","2","2","2","2"
"島しょ","19","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1"
"合計","7486","1296","6","711","1510","2824","52","87","16","52","7","6","12","1","0","35","1","0","3","0","0","55","125","414","261","39","25","25","25"


