"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年45週"
"集計期間終了週","2025年45週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","408","17","1241","14","2","9","43","0","1","1","3","5","0","0","1","0","3","0","0","0","0","0","0","2","","","","","","",""
"区南部","493","9","1152","4","5","29","42","3","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"区西南部","506","21","1394","6","3","11","42","3","1","1","3","0","1","2","0","0","1","0","0","0","0","0","8","1","","","","","","",""
"区西部","648","13","1604","4","1","16","35","4","1","0","4","0","0","0","0","0","0","0","0","1","0","0","11","2","","","","","","",""
"区西北部","750","28","2092","2","0","17","76","6","2","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"区東北部","555","19","1607","8","7","15","54","5","2","0","2","2","0","2","0","0","2","0","0","1","0","0","5","1","","","","","","",""
"区東部","597","19","1614","4","2","18","67","1","3","2","4","1","0","1","0","0","1","0","0","0","0","0","4","3","","","","","","",""
"西多摩","87","4","252","0","1","12","6","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"南多摩","836","18","3024","8","0","63","95","5","3","5","5","3","3","3","0","0","1","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","295","9","746","2","3","9","12","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","3","0","","","","","","",""
"北多摩南部","597","32","1594","3","1","12","53","2","1","1","1","1","1","0","0","0","1","0","0","2","0","0","10","2","","","","","","",""
"北多摩北部","363","7","1033","4","4","26","43","5","2","1","5","1","2","5","1","0","1","0","0","1","0","0","8","3","","","","","","",""
"島しょ","5","2","24","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","6140","198","17377","59","29","237","569","35","19","17","29","18","7","15","2","0","11","0","0","5","0","0","50","16","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年45週"
"集計期間終了週","2025年45週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","370","13","1246","7","1","5","38","3","4","1","2","1","0","0","1","0","3","0","0","0","0","0","3","3","","","","","","",""
"区南部","456","17","1059","8","2","21","66","7","1","6","1","0","0","1","0","0","1","0","0","0","0","0","1","0","","","","","","",""
"区西南部","488","22","1378","4","1","5","50","2","1","1","1","1","1","2","0","0","4","0","0","0","0","0","6","1","","","","","","",""
"区西部","615","20","1643","2","1","11","34","1","1","3","2","1","0","0","1","0","0","0","0","2","0","0","6","1","","","","","","",""
"区西北部","777","31","2097","2","0","24","52","2","2","1","3","2","2","1","0","0","1","0","0","1","0","0","1","1","","","","","","",""
"区東北部","521","22","1722","6","7","12","29","3","1","0","6","1","0","1","0","0","4","0","0","1","0","0","5","1","","","","","","",""
"区東部","564","20","1618","6","1","25","52","3","1","1","2","1","0","3","0","0","1","0","0","0","0","1","4","3","","","","","","",""
"西多摩","97","6","293","0","1","7","10","0","2","1","1","1","0","0","0","0","0","0","0","2","0","0","1","0","","","","","","",""
"南多摩","808","33","2959","6","1","57","118","7","3","8","2","6","3","3","0","0","1","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","284","14","674","1","1","5","16","1","3","1","1","0","0","0","0","0","1","0","0","0","0","0","3","1","","","","","","",""
"北多摩南部","609","22","1493","1","2","25","52","2","1","1","1","1","1","1","0","0","1","0","0","1","0","0","7","1","","","","","","",""
"北多摩北部","401","11","1075","3","2","13","39","5","1","1","7","1","2","5","1","0","1","0","0","1","0","0","6","3","","","","","","",""
"島しょ","3","5","21","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","5993","236","17278","47","20","210","557","36","21","25","30","16","9","17","3","0","18","0","0","8","0","1","43","17","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年45週"
"集計期間終了週","2025年45週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","778","30","2487","21","3","14","81","3","5","1","5","6","0","0","1","0","3","0","0","0","0","0","3","5","32","32","20","2","4","4","4"
"区南部","949","26","2211","12","7","50","108","10","1","9","1","0","0","1","0","0","2","0","0","0","0","0","1","0","33","33","21","3","1","1","1"
"区西南部","994","43","2772","10","4","16","92","5","1","2","4","1","1","2","0","0","5","0","0","0","0","0","14","2","40","40","25","4","3","3","3"
"区西部","1263","33","3247","6","1","27","69","5","1","3","6","1","0","0","1","0","0","0","0","3","0","0","17","3","39","39","25","4","4","4","4"
"区西北部","1527","59","4189","4","0","41","128","8","4","2","3","6","2","2","0","0","1","0","0","1","0","0","1","1","56","56","35","6","2","2","2"
"区東北部","1076","41","3329","14","14","27","83","8","3","0","8","3","0","3","0","0","6","0","0","1","0","0","10","2","40","40","25","4","1","1","1"
"区東部","1161","39","3232","10","3","43","119","4","4","3","6","1","0","4","0","0","2","0","0","0","0","1","8","3","41","41","26","4","1","1","1"
"西多摩","184","10","545","0","1","19","16","0","2","2","1","1","0","0","0","0","0","0","0","2","0","0","1","0","14","14","8","1","1","1","1"
"南多摩","1644","51","5983","14","1","120","213","12","6","13","7","9","3","3","0","0","1","0","0","0","0","0","0","4","44","44","28","4","1","1","1"
"北多摩西部","579","23","1420","3","4","14","28","2","3","2","1","0","0","0","0","0","1","0","0","0","0","0","3","1","21","21","14","2","1","1","1"
"北多摩南部","1206","54","3087","4","3","37","105","4","1","2","2","2","1","1","0","0","1","0","0","3","0","0","17","3","33","33","21","3","3","3","3"
"北多摩北部","764","18","2108","7","6","39","82","10","3","2","12","1","2","5","1","0","1","0","0","1","0","0","14","6","23","23","15","2","2","2","2"
"島しょ","8","7","45","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","1","1"
"合計","12133","434","34655","106","47","447","1126","71","34","41","57","31","9","21","3","0","23","0","0","11","0","1","89","30","418","418","264","39","25","25","25"


