"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年49週"
"集計期間終了週","2025年49週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","340","6","1118","1","0","13","94","10","1","0","2","0","0","0","0","0","0","0","0","2","0","0","5","1","","","","","","",""
"区南部","313","5","859","3","3","21","87","0","0","2","3","0","0","0","1","0","2","0","0","0","0","0","2","0","","","","","","",""
"区西南部","394","12","1158","0","0","28","88","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","2","","","","","","",""
"区西部","312","7","1144","10","3","11","78","4","1","0","4","0","0","2","1","0","1","0","0","0","0","0","6","2","","","","","","",""
"区西北部","695","13","1839","2","2","29","94","2","1","0","5","0","2","0","0","0","2","0","0","0","0","0","3","1","","","","","","",""
"区東北部","452","7","1461","7","13","34","85","4","0","0","3","0","0","1","0","0","1","0","0","2","0","0","4","3","","","","","","",""
"区東部","492","10","1366","2","2","53","102","3","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"西多摩","151","4","306","0","0","11","8","3","0","0","1","0","0","0","0","0","0","0","0","4","0","0","2","1","","","","","","",""
"南多摩","1033","12","2834","2","5","90","95","7","0","2","5","0","2","2","0","0","2","0","0","0","0","0","4","6","","","","","","",""
"北多摩西部","242","5","590","4","0","16","14","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","","","","","","",""
"北多摩南部","449","14","1319","1","3","51","46","8","3","4","2","0","1","0","0","0","1","0","0","1","0","0","11","2","","","","","","",""
"北多摩北部","365","4","1056","0","3","20","57","10","0","1","2","0","0","0","0","0","0","0","0","1","0","0","13","1","","","","","","",""
