"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年1週"
"集計期間終了週","2025年1週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","125","13","0","0","1","11","1","1","2","0","0","1","0","0","0","0","0","0","0","0","0","20","5","","","","","",""
"区南部","56","5","2","0","6","6","2","0","2","1","0","0","0","0","0","1","0","0","0","0","0","1","0","","","","","",""
"区西南部","72","8","3","3","2","6","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","25","7","","","","","",""
"区西部","223","11","1","0","5","14","1","0","5","1","0","0","0","2","0","0","0","0","3","0","0","11","5","","","","","",""
"区西北部","225","16","0","1","17","9","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","3","","","","","",""
"区東北部","310","30","4","3","5","23","2","0","5","2","0","0","0","1","0","0","0","0","1","0","0","4","3","","","","","",""
"区東部","395","54","1","0","3","8","5","0","4","0","0","1","0","0","0","6","0","0","0","0","0","19","5","","","","","",""
"西多摩","60","10","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","15","6","","","","","",""
"南多摩","467","32","1","0","4","15","3","1","6","1","0","0","0","0","0","0","0","0","0","0","0","8","5","","","","","",""
"北多摩西部","64","4","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","","","","","",""
"北多摩南部","60","6","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","1","2","0","0","24","7","","","","","",""
"北多摩北部","106","13","1","0","2","3","2","1","4","0","0","0","0","0","0","0","0","0","1","0","0","15","7","","","","","",""
"島しょ","67","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","","","","","",""
"合計","2230","206","13","7","49","100","23","4","36","5","0","2","0","3","0","7","0","1","7","0","0","151","59","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年1週"
"集計期間終了週","2025年1週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","136","16","0","1","1","6","1","1","2","0","0","1","1","0","0","0","0","0","0","0","0","12","5","","","","","",""
"区南部","80","7","2","0","1","5","1","1","2","1","0","0","0","0","0","1","0","0","0","0","0","3","2","","","","","",""
"区西南部","69","9","3","3","2","4","1","0","2","1","0","0","0","0","0","1","0","0","1","0","0","22","7","","","","","",""
"区西部","251","7","1","0","5","14","1","2","5","1","0","0","0","2","0","0","0","0","3","0","0","9","8","","","","","",""
"区西北部","194","30","1","1","15","4","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","6","2","","","","","",""
"区東北部","276","42","2","1","4","12","2","0","3","2","0","0","0","1","0","0","0","0","1","0","1","10","3","","","","","",""
"区東部","424","48","1","2","3","14","1","0","13","0","0","1","0","1","0","4","0","0","0","0","0","7","2","","","","","",""
"西多摩","75","5","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","","","","","",""
"南多摩","486","32","1","0","6","11","4","1","8","1","0","0","0","0","0","0","0","0","0","0","0","11","3","","","","","",""
"北多摩西部","67","4","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","2","","","","","",""
"北多摩南部","58","8","0","0","2","1","1","0","4","0","0","0","0","0","0","0","0","1","4","0","0","23","5","","","","","",""
"北多摩北部","89","11","1","1","1","2","2","1","4","0","0","0","0","0","0","0","0","0","2","0","0","18","10","","","","","",""
"島しょ","39","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"合計","2244","222","12","9","42","79","17","9","46","6","0","2","1","4","0","6","0","1","11","0","1","130","54","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年1週"
"集計期間終了週","2025年1週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","261","29","0","1","2","17","1","2","4","0","0","1","1","0","0","0","0","0","0","0","0","32","10","28","19","2","4","4","4"
"区南部","136","12","2","0","7","11","3","1","4","1","0","0","0","0","0","1","0","0","0","0","0","4","2","17","12","2","1","1","1"
"区西南部","141","17","3","3","2","10","3","0","4","1","0","0","0","0","0","1","0","0","1","0","0","47","14","23","13","2","3","3","3"
"区西部","474","18","1","0","10","28","1","2","10","1","0","0","0","4","0","0","0","0","6","0","0","20","13","26","19","3","4","4","4"
"区西北部","419","46","1","1","32","13","3","2","7","0","0","0","0","0","0","0","0","0","0","0","0","11","5","38","25","3","2","2","2"
"区東北部","586","72","6","4","9","35","2","0","8","4","0","0","0","1","0","0","0","0","1","0","1","14","6","39","25","4","1","1","1"
"区東部","819","102","1","2","6","22","6","0","17","0","0","1","0","1","0","10","0","0","0","0","0","26","7","30","18","4","1","1","1"
"西多摩","135","15","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","19","7","14","8","1","1","1","1"
"南多摩","953","64","2","0","10","26","7","2","14","2","0","0","0","0","0","0","0","0","0","0","0","19","8","36","22","3","1","1","1"
"北多摩西部","131","8","0","0","4","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","2","21","14","2","1","1","1"
"北多摩南部","118","14","0","0","4","1","2","0","4","0","0","0","0","0","0","0","0","1","6","0","0","47","12","33","21","3","3","3","3"
"北多摩北部","195","24","1","1","3","5","2","1","4","0","0","0","0","0","0","0","0","0","3","0","0","33","17","13","6","1","2","2","2"
"島しょ","106","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","2","1","0","1","1","1"
"合計","4474","428","17","12","89","174","32","11","77","9","0","2","1","6","0","12","0","1","17","0","1","281","107","320","203","30","25","25","25"


