"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年41週"
"集計期間終了週","2025年41週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","66","32","935","11","1","9","60","5","4","3","6","6","2","0","0","0","1","0","0","1","0","0","0","4","","","","","","",""
"区南部","62","32","709","7","4","22","74","5","5","1","3","3","0","2","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"区西南部","126","48","988","8","2","17","31","2","2","1","2","3","0","2","0","0","2","0","0","1","0","1","1","0","","","","","","",""
"区西部","107","24","1106","17","0","22","43","0","3","0","2","0","0","1","0","0","0","0","0","1","1","0","2","3","","","","","","",""
"区西北部","107","61","1344","17","4","32","63","7","3","0","2","15","0","1","1","0","5","0","1","1","0","0","0","1","","","","","","",""
"区東北部","58","56","1211","28","4","20","59","5","3","1","6","11","0","0","1","0","0","0","0","0","0","0","1","1","","","","","","",""
"区東部","113","46","1162","16","1","29","57","3","0","4","5","10","0","3","1","0","3","0","0","0","0","0","2","0","","","","","","",""
"西多摩","5","13","189","1","0","7","8","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","",""
"南多摩","168","58","2314","14","5","66","102","8","2","8","2","11","4","2","1","0","2","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","46","25","455","8","0","16","16","3","1","2","3","2","0","0","0","0","1","0","0","1","0","0","1","1","","","","","","",""
"北多摩南部","82","37","1204","9","2","34","46","1","1","1","8","9","2","1","0","0","2","0","0","2","0","0","1","5","","","","","","",""
"北多摩北部","50","30","917","4","0","17","74","2","4","2","5","8","0","7","0","0","3","0","1","2","0","0","4","7","","","","","","",""
"島しょ","0","2","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","990","464","12556","140","23","291","633","41","28","23","44","79","8","19","4","0","19","0","2","11","1","1","12","25","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年41週"
"集計期間終了週","2025年41週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","80","30","928","11","1","14","53","3","1","4","5","5","1","0","0","0","1","0","0","1","0","0","1","2","","","","","","",""
"区南部","72","39","686","7","5","20","48","5","4","3","9","1","1","3","0","0","1","0","0","1","0","0","0","0","","","","","","",""
"区西南部","138","43","883","14","1","12","21","2","1","2","1","3","0","2","0","0","1","0","0","1","0","1","1","5","","","","","","",""
"区西部","91","34","1009","8","0","12","34","0","2","1","4","3","1","2","2","0","1","0","1","5","1","0","1","3","","","","","","",""
"区西北部","133","75","1510","14","1","28","51","8","7","1","4","12","0","3","1","0","3","0","1","1","0","0","0","1","","","","","","",""
"区東北部","78","60","1187","18","2","15","40","5","1","2","5","5","1","0","1","0","2","0","0","1","0","0","2","1","","","","","","",""
"区東部","98","51","1089","16","1","21","61","2","6","2","5","7","0","2","1","0","3","0","0","2","0","0","2","2","","","","","","",""
"西多摩","6","9","198","1","1","6","9","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","",""
"南多摩","165","74","2331","12","5","61","85","2","2","9","8","16","3","2","1","0","2","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","34","26","425","7","0","17","15","3","1","1","3","3","0","0","0","0","2","0","0","1","0","0","1","1","","","","","","",""
"北多摩南部","62","54","1196","7","1","24","49","1","3","2","5","9","2","6","0","0","1","0","0","1","0","0","1","2","","","","","","",""
"北多摩北部","43","27","844","4","2","17","52","2","10","1","5","14","1","3","0","0","2","0","1","3","1","0","2","2","","","","","","",""
"島しょ","0","4","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
